date,close price,DGX_SHE,DGX_TA,DGX_TL,market cap,PB Ratio
2016-12-09,91.14,4663000000.0,10173000000.0,5510000000.0,12941880000.0,2.775440703409822
2016-12-12,91.71,4663000000.0,10173000000.0,5510000000.0,13022820000.0,2.7927986274930303
2016-12-13,91.95,4663000000.0,10173000000.0,5510000000.0,13056900000.0,2.8001072271070124
2016-12-14,91.05,4663000000.0,10173000000.0,5510000000.0,12929100000.0,2.7726999785545785
2016-12-15,91.98,4663000000.0,10173000000.0,5510000000.0,13061160000.0,2.8010208020587606
2016-12-16,92.31,4663000000.0,10173000000.0,5510000000.0,13108020000.0,2.8110701265279863
2016-12-19,92.38,4663000000.0,10173000000.0,5510000000.0,13117960000.0,2.813201801415398
2016-12-20,92.6,4663000000.0,10173000000.0,5510000000.0,13149200000.0,2.8199013510615485
2016-12-21,92.04,4663000000.0,10173000000.0,5510000000.0,13069680000.0,2.802847951962256
2016-12-22,91.81,4663000000.0,10173000000.0,5510000000.0,13037020000.0,2.7958438773321896
2016-12-23,92.41,4663000000.0,10173000000.0,5510000000.0,13122220000.0,2.8141153763671456
2016-12-27,92.51,4663000000.0,10173000000.0,5510000000.0,13136420000.0,2.817160626206305
2016-12-28,91.76,4663000000.0,10173000000.0,5510000000.0,13029920000.0,2.79432125241261
2016-12-29,91.87,4663000000.0,10173000000.0,5510000000.0,13045540000.0,2.797671027235685
2016-12-30,91.9,4663000000.0,10173000000.0,5510000000.0,13049800000.0,2.7985846021874328
2017-01-03,92.45,4663000000.0,10173000000.0,5510000000.0,13035450000.0,2.79550718421617
2017-01-04,93.07,4663000000.0,10173000000.0,5510000000.0,13122869999.999998,2.8142547716062616
2017-01-05,92.69,4663000000.0,10173000000.0,5510000000.0,13069290000.0,2.8027643148187864
2017-01-06,92.02,4663000000.0,10173000000.0,5510000000.0,12974820000.0,2.7825048252198155
2017-01-09,92.43,4663000000.0,10173000000.0,5510000000.0,13032630000.000002,2.7949024233326187
2017-01-10,93.0,4663000000.0,10173000000.0,5510000000.0,13113000000.0,2.812138108513832
2017-01-11,93.27,4663000000.0,10173000000.0,5510000000.0,13151070000.0,2.8203023804417757
2017-01-12,93.12,4663000000.0,10173000000.0,5510000000.0,13129920000.0,2.8157666738151406
2017-01-13,92.7,4663000000.0,10173000000.0,5510000000.0,13070700000.0,2.803066695260562
2017-01-17,92.26,4663000000.0,10173000000.0,5510000000.0,13008660000.0,2.789761955822432
2017-01-18,92.96,4663000000.0,10173000000.0,5510000000.0,13107360000.0,2.8109285867467295
2017-01-19,91.53,4663000000.0,10173000000.0,5510000000.0,12905730000.0,2.7676881835728073
2017-01-20,91.0,4663000000.0,10173000000.0,5510000000.0,12831000000.0,2.751662020158696
2017-01-23,91.07,4663000000.0,10173000000.0,5510000000.0,12840869999.999998,2.7537786832511255
2017-01-24,91.34,4663000000.0,10173000000.0,5510000000.0,12878940000.0,2.761942955179069
2017-01-25,91.88,4663000000.0,10173000000.0,5510000000.0,12955080000.0,2.778271499034956
2017-01-26,92.89,4663000000.0,10173000000.0,5510000000.0,13097490000.0,2.8088119236542997
2017-01-27,92.72,4663000000.0,10173000000.0,5510000000.0,13073520000.0,2.803671456144113
2017-01-30,90.54,4663000000.0,10173000000.0,5510000000.0,12766140000.0,2.7377525198370147
2017-01-31,91.92,4663000000.0,10173000000.0,5510000000.0,12960720000.0,2.779481020802059
2017-02-01,92.55,4663000000.0,10173000000.0,5510000000.0,13049550000.0,2.7985309886339267
2017-02-02,92.48,4663000000.0,10173000000.0,5510000000.0,13039680000.0,2.796414325541497
2017-02-03,93.31,4663000000.0,10173000000.0,5510000000.0,13156710000.0,2.8215119022088784
2017-02-06,92.78,4663000000.0,10173000000.0,5510000000.0,13081980000.0,2.805485738794767
2017-02-07,92.62,4663000000.0,10173000000.0,5510000000.0,13059420000.0,2.8006476517263565
2017-02-08,93.05,4663000000.0,10173000000.0,5510000000.0,13120050000.0,2.8136500107227107
2017-02-09,93.77,4663000000.0,10173000000.0,5510000000.0,13221570000.0,2.8354214025305597
2017-02-10,93.56,4663000000.0,10173000000.0,5510000000.0,13191960000.0,2.8290714132532706
2017-02-13,93.96,4663000000.0,10173000000.0,5510000000.0,13248360000.0,2.8411666309242976
2017-02-14,94.61,4663000000.0,10173000000.0,5510000000.0,13340010000.0,2.8608213596397167
2017-02-15,95.39,4663000000.0,10173000000.0,5510000000.0,13449990000.0,2.88440703409822
2017-02-16,95.3,4663000000.0,10173000000.0,5510000000.0,13437300000.0,2.881685610122239
2017-02-17,95.64,4663000000.0,10173000000.0,5510000000.0,13485240000.0,2.891966545142612
2017-02-21,95.87,4663000000.0,10173000000.0,5510000000.0,13517670000.0,2.898921295303453
2017-02-22,95.6,4628000000.0,10100000000.0,5472000000.0,13479600000.0,2.912618841832325
2017-02-23,95.61,4628000000.0,10100000000.0,5472000000.0,13481010000.0,2.9129235090751946
2017-02-24,97.31,4628000000.0,10100000000.0,5472000000.0,13720710000.0,2.9647169403630076
2017-02-27,97.47,4628000000.0,10100000000.0,5472000000.0,13743270000.0,2.9695916162489198
2017-02-28,97.44,4628000000.0,10100000000.0,5472000000.0,13739040000.0,2.968677614520311
2017-03-01,98.4,4628000000.0,10100000000.0,5472000000.0,13874400000.0,2.9979256698357823
2017-03-02,98.27,4628000000.0,10100000000.0,5472000000.0,13856070000.0,2.993964995678479
2017-03-03,98.52,4628000000.0,10100000000.0,5472000000.0,13891320000.0,3.001581676750216
2017-03-06,98.37,4628000000.0,10100000000.0,5472000000.0,13870170000.0,2.9970116681071737
2017-03-07,98.17,4628000000.0,10100000000.0,5472000000.0,13841970000.0,2.990918323249784
2017-03-08,97.92,4628000000.0,10100000000.0,5472000000.0,13806720000.0,2.9833016421780467
2017-03-09,98.2,4628000000.0,10100000000.0,5472000000.0,13846200000.0,2.9918323249783922
2017-03-10,98.78,4628000000.0,10100000000.0,5472000000.0,13927980000.0,3.0095030250648227
2017-03-13,98.79,4628000000.0,10100000000.0,5472000000.0,13929390000.0,3.0098076923076924
2017-03-14,98.66,4628000000.0,10100000000.0,5472000000.0,13911060000.0,3.005847018150389
2017-03-15,99.74,4628000000.0,10100000000.0,5472000000.0,14063340000.0,3.038751080380294
