date,NTRS,NTRS_SHE,PB Ratio
2015-07-24,18831993282.02,8607600000.0,2.1878332266857194
2015-07-27,18538393282.82,8607600000.0,2.153723835078303
2015-07-28,18716999949.0,8607600000.0,2.1744737149728146
2015-07-29,18778166615.5,8749300000.0,2.1462478844593282
2015-07-30,18902946615.16,8749300000.0,2.1605095967860284
2015-07-31,18714553282.34,8749300000.0,2.1389772075868927
2015-08-03,18746359948.920002,8749300000.0,2.1426125460231105
2015-08-04,18888266615.2,8749300000.0,2.158831748277005
2015-08-05,18890713281.859997,8749300000.0,2.1591113896951755
2015-08-06,18876033281.9,8749300000.0,2.157433541186152
2015-08-07,19000813281.559998,8749300000.0,2.171695253512852
2015-08-10,19213673280.98,8749300000.0,2.196024056893694
2015-08-11,19003259948.22,8749300000.0,2.171974894931023
2015-08-12,18741466615.6,8749300000.0,2.142053263186769
2015-08-13,18836886615.34,8749300000.0,2.1529592784954223
2015-08-14,19010599948.2,8749300000.0,2.172813819185535
2015-08-17,18993473281.579998,8749300000.0,2.1708563292583403
2015-08-18,18986133281.6,8749300000.0,2.170017405003829
2015-08-19,18922519948.440002,8749300000.0,2.1627467281313937
2015-08-20,18357339949.98,8749300000.0,2.0981495605339857
2015-08-21,17743226618.32,8749300000.0,2.0279595645731656
2015-08-24,16431813288.56,8749300000.0,1.8780717644337261
2015-08-25,15964499956.5,8749300000.0,1.8246602535631422
2015-08-26,16642226621.32,8749300000.0,1.9021209263963974
2015-08-27,17143793286.619999,8749300000.0,1.9594474171213696
2015-08-28,17160919953.24,8749300000.0,1.961404907048564
2015-08-31,17087519953.44,8749300000.0,1.953015664503446
2015-09-01,16637333288.0,8749300000.0,1.9015616435600562
2015-09-02,16864873287.380001,8749300000.0,1.9275682954499218
2015-09-03,16987206620.380001,8749300000.0,1.9415503663584517
2015-09-04,16705839954.48,8749300000.0,1.909391603268833
2015-09-08,17261233286.3,8749300000.0,1.9728702051935583
2015-09-09,17045926620.220001,8749300000.0,1.948261760394546
2015-09-10,17102199953.400002,8749300000.0,1.9546935130124699
2015-09-11,17134006619.98,8749300000.0,1.9583288514486872
2015-09-14,17131559953.32,8749300000.0,1.9580492100305167
2015-09-15,17319953286.140003,8749300000.0,1.979581599229653
2015-09-16,17319953286.140003,8749300000.0,1.979581599229653
2015-09-17,16984759953.720001,8749300000.0,1.941270724940281
2015-09-18,16424473288.579998,8749300000.0,1.8772328401792142
2015-09-21,16732753287.74,8749300000.0,1.9124676588687095
2015-09-22,16475853288.44,8749300000.0,1.8831053099607968
2015-09-23,16512553288.339998,8749300000.0,1.8872999312333556
2015-09-24,16422026621.920002,8749300000.0,1.876953198761044
2015-09-25,16894233287.3,8749300000.0,1.9309239924679689
2015-09-28,16429366621.900002,8749300000.0,1.8777921230155556
2015-09-29,16453833288.5,8749300000.0,1.8805885371972615
2015-09-30,16676479954.56,8749300000.0,1.9060359062507857
2015-10-01,16688713287.859999,8749300000.0,1.9074341133416386
2015-10-02,16488086621.74,8749300000.0,1.8845035170516498
2015-10-05,16828173287.48,8749300000.0,1.9233736741773626
2015-10-06,16722966621.099998,8749300000.0,1.9113490931960269
2015-10-07,16881999954.0,8749300000.0,1.929525785377116
2015-10-08,16911359953.920002,8749300000.0,1.9328814823951632
2015-10-09,16754773287.68,8749300000.0,1.9149844316322449
2015-10-12,16833066620.8,8749300000.0,1.9239329570137038
2015-10-13,16744986621.039999,8749300000.0,1.9138658659595624
2015-10-14,16559039954.880001,8749300000.0,1.8926131181785972
2015-10-15,16992099953.7,8749300000.0,1.942109649194793
2015-10-16,16908913287.26,8749300000.0,1.9326018409769925
2015-10-19,16720519954.44,8749300000.0,1.9110694517778566
2015-10-20,17021459953.619999,8749300000.0,1.9454653462128397
2015-10-21,16282566622.3,8749300000.0,1.8610136379253197
2015-10-22,16661799954.599998,8749300000.0,1.904358057741762
2015-10-23,16923593287.220001,8749300000.0,1.9342796894860161
2015-10-26,16857533287.400002,8749300000.0,1.92672937119541
2015-10-27,16864873287.380001,8749300000.0,1.9275682954499218
2015-10-28,17478986619.04,8784500000.0,1.9897531582947237
2015-10-29,17376226619.32,8784500000.0,1.9780552813842562
2015-10-30,17222086619.74,8784500000.0,1.9605084660185557
2015-11-02,17442286619.140003,8784500000.0,1.9855753451124143
2015-11-03,17549939952.18,8784500000.0,1.9978302637805225
2015-11-04,17657593285.22,8784500000.0,2.0100851824486314
2015-11-05,17929173284.48,8784500000.0,2.041000999997723
2015-11-06,18342659950.02,8784500000.0,2.088071028518413
2015-11-09,18115119950.640003,8784500000.0,2.062168586788093
2015-11-10,18305959950.12,8784500000.0,2.0838932153361034
2015-11-11,18337766616.7,8784500000.0,2.0875139867607717
2015-11-12,18093099950.7,8784500000.0,2.0596618988787068
2015-11-13,17916939951.18,8784500000.0,2.03960839560362
2015-11-16,18107779950.66,8784500000.0,2.0613330241516308
2015-11-17,18100439950.68,8784500000.0,2.060497461515169
2015-11-18,18535946616.16,8784500000.0,2.1100741779452443
2015-11-19,18447866616.4,8784500000.0,2.100047426307701
2015-11-20,18506586616.24,8784500000.0,2.1067319273993967
2015-11-23,18398933283.2,8784500000.0,2.094477008731288
2015-11-24,18374466616.6,8784500000.0,2.0916917999430815
2015-11-25,18349999950.0,8784500000.0,2.088906591154875
2015-11-27,18482119949.640003,8784500000.0,2.1039467186111906
2015-11-30,18335319950.04,8784500000.0,2.0872354658819514
2015-12-01,18354893283.32,8784500000.0,2.0894636329125165
2015-12-02,18154266617.2,8784500000.0,2.066624920849223
2015-12-03,17804393284.82,8784500000.0,2.0267964351778702
2015-12-04,18479673282.98,8784500000.0,2.1036681977323695
2015-12-07,18254579950.26,8784500000.0,2.0780442768808696
2015-12-08,18183626617.12,8784500000.0,2.0699671713950707
2015-12-09,17733439951.68,8784500000.0,2.0187193296920714
2015-12-10,17647806618.579998,8784500000.0,2.0089710989333485
