date,close price,CHTR_SHE,CHTR_TA,CHTR_TL,market cap,PB Ratio
2015-11-20,186.48,60000000.0,36873000000.0,36813000000.0,20861474896.079998,347.691248268
2015-11-23,187.04,60000000.0,36873000000.0,36813000000.0,20924121967.84,348.73536613066665
2015-11-24,186.11,60000000.0,36873000000.0,36813000000.0,20820083080.81,347.00138468016667
2015-11-25,186.09,60000000.0,36873000000.0,36813000000.0,20817845685.39,346.9640947565
2015-11-27,187.24,60000000.0,36873000000.0,36813000000.0,20946495922.04,349.10826536733333
2015-11-30,187.36,60000000.0,36873000000.0,36813000000.0,20959920294.56,349.33200490933336
2015-12-01,188.88,60000000.0,36873000000.0,36813000000.0,21129962346.48,352.166039108
2015-12-02,186.77,60000000.0,36873000000.0,36813000000.0,20893917129.670002,348.2319521611667
2015-12-03,180.79,60000000.0,36873000000.0,36813000000.0,20224935899.09,337.08226498483333
2015-12-04,184.53,60000000.0,36873000000.0,36813000000.0,20643328842.63,344.05548071050004
2015-12-07,187.81,60000000.0,36873000000.0,36813000000.0,21010261691.510002,350.1710281918334
2015-12-08,186.59,60000000.0,36873000000.0,36813000000.0,20873780570.89,347.8963428481667
2015-12-09,185.31,60000000.0,36873000000.0,36813000000.0,20730587264.010002,345.50978773350005
2015-12-10,183.64,60000000.0,36873000000.0,36813000000.0,20543764746.44,342.3960791073333
2015-12-11,178.02,60000000.0,36873000000.0,36813000000.0,19915056633.420002,331.91761055700005
2015-12-14,174.81,60000000.0,36873000000.0,36813000000.0,19555954668.510002,325.9325778085
2015-12-15,178.25,60000000.0,36873000000.0,36813000000.0,19940786680.75,332.34644467916667
2015-12-16,183.31,60000000.0,36873000000.0,36813000000.0,20506847722.010002,341.7807953668334
2015-12-17,183.03,60000000.0,36873000000.0,36813000000.0,20475524186.13,341.2587364355
2015-12-18,178.29,60000000.0,36873000000.0,36813000000.0,19945261471.59,332.4210245265
2015-12-21,180.05,60000000.0,36873000000.0,36813000000.0,20142152268.550003,335.7025378091667
2015-12-22,181.0,60000000.0,36873000000.0,36813000000.0,20248428551.0,337.47380918333334
2015-12-23,181.0,60000000.0,36873000000.0,36813000000.0,20248428551.0,337.47380918333334
2015-12-24,181.89,60000000.0,36873000000.0,36813000000.0,20347992647.19,339.1332107865
2015-12-28,182.08,60000000.0,36873000000.0,36813000000.0,20369247903.68,339.48746506133335
2015-12-29,185.17,60000000.0,36873000000.0,36813000000.0,20714925496.07,345.24875826783335
2015-12-30,184.22,60000000.0,36873000000.0,36813000000.0,20608649213.62,343.47748689366665
2015-12-31,183.1,60000000.0,36873000000.0,36813000000.0,20483355070.1,341.3892511683333
2016-01-04,177.53,60000000.0,36873000000.0,36813000000.0,19938667518.670002,332.3111253111667
2016-01-05,175.17,60000000.0,36873000000.0,36813000000.0,19673612286.629997,327.89353811049995
2016-01-06,174.31,60000000.0,36873000000.0,36813000000.0,19577024363.09,326.2837393848333
2016-01-07,173.63,60000000.0,36873000000.0,36813000000.0,19500652516.57,325.01087527616664
2016-01-08,174.89,60000000.0,36873000000.0,36813000000.0,19642165055.71,327.3694175951666
2016-01-11,175.63,60000000.0,36873000000.0,36813000000.0,19725275594.57,328.7545932428333
2016-01-12,175.32,60000000.0,36873000000.0,36813000000.0,19690459017.48,328.174316958
2016-01-13,167.99,60000000.0,36873000000.0,36813000000.0,18867215436.61,314.45359061016666
2016-01-14,172.31,60000000.0,36873000000.0,36813000000.0,19352401285.09,322.54002141816665
2016-01-15,165.08,60000000.0,36873000000.0,36813000000.0,18540388858.120003,309.0064809686667
2016-01-19,167.38,60000000.0,36873000000.0,36813000000.0,18798705397.82,313.3117566303333
2016-01-20,170.51,60000000.0,36873000000.0,36813000000.0,19150240514.89,319.1706752481667
2016-01-21,169.45,60000000.0,36873000000.0,36813000000.0,19031190283.55,317.18650472583334
2016-01-22,174.72,60000000.0,36873000000.0,36813000000.0,19623072094.079998,327.05120156799995
2016-01-25,172.34,60000000.0,36873000000.0,36813000000.0,19355770631.260002,322.5961771876667
2016-01-26,172.17,60000000.0,36873000000.0,36813000000.0,19336677669.629997,322.27796116049996
