date,close price,HCA_SHE,HCA_TA,HCA_TL,market cap,PB Ratio
2016-12-21,73.52,-7763000000.0,33127000000.0,40890000000.0,28305200000.0,-3.646167718665464
2016-12-22,73.96,-7763000000.0,33127000000.0,40890000000.0,28474600000.0,-3.6679891794409376
2016-12-23,74.46,-7763000000.0,33127000000.0,40890000000.0,28667100000.0,-3.692786293958521
2016-12-27,74.37,-7763000000.0,33127000000.0,40890000000.0,28632450000.0,-3.6883228133453563
2016-12-28,73.56,-7763000000.0,33127000000.0,40890000000.0,28320600000.0,-3.6481514878268713
2016-12-29,73.89,-7763000000.0,33127000000.0,40890000000.0,28447650000.0,-3.664517583408476
2016-12-30,74.02,-7763000000.0,33127000000.0,40890000000.0,28497700000.0,-3.670964833183048
2017-01-03,74.46,-7763000000.0,33127000000.0,40890000000.0,28667100000.0,-3.692786293958521
2017-01-04,77.13,-7763000000.0,33127000000.0,40890000000.0,29695050000.0,-3.8252028854824167
2017-01-05,76.81,-7763000000.0,33127000000.0,40890000000.0,29571850000.0,-3.809332732191163
2017-01-06,76.62,-7763000000.0,33127000000.0,40890000000.0,29498700000.0,-3.7999098286744815
2017-01-09,78.92,-7763000000.0,33127000000.0,40890000000.0,30384200000.0,-3.913976555455365
2017-01-10,78.27,-7763000000.0,33127000000.0,40890000000.0,30133950000.0,-3.8817403065825067
2017-01-11,79.31,-7763000000.0,33127000000.0,40890000000.0,30534350000.0,-3.93331830477908
2017-01-12,79.12,-7763000000.0,33127000000.0,40890000000.0,30461200000.0,-3.9238954012623988
2017-01-13,79.4,-7763000000.0,33127000000.0,40890000000.0,30569000000.0,-3.937781785392245
2017-01-17,80.93,-7763000000.0,33127000000.0,40890000000.0,31158050000.0,-4.01366095581605
2017-01-18,79.73,-7763000000.0,33127000000.0,40890000000.0,30696050000.0,-3.95414788097385
2017-01-19,78.62,-7763000000.0,33127000000.0,40890000000.0,30268700000.0,-3.899098286744815
2017-01-20,79.71,-7763000000.0,33127000000.0,40890000000.0,30688350000.0,-3.953155996393147
2017-01-23,79.84,-7763000000.0,33127000000.0,40890000000.0,30738400000.0,-3.9596032461677186
2017-01-24,80.33,-7763000000.0,33127000000.0,40890000000.0,30927050000.0,-3.9839044183949506
2017-01-25,80.57,-7763000000.0,33127000000.0,40890000000.0,31019450000.0,-3.9958070333633904
2017-01-26,80.28,-7763000000.0,33127000000.0,40890000000.0,30907800000.0,-3.981424706943192
2017-01-27,79.52,-7763000000.0,33127000000.0,40890000000.0,30615200000.0,-3.943733092876465
2017-01-30,79.29,-7763000000.0,33127000000.0,40890000000.0,30526650000.0,-3.9323264201983767
2017-01-31,80.28,-7763000000.0,33127000000.0,40890000000.0,30907800000.0,-3.981424706943192
2017-02-01,81.96,-7763000000.0,33127000000.0,40890000000.0,31554600000.0,-4.064743011722272
2017-02-02,82.29,-7763000000.0,33127000000.0,40890000000.0,31681650000.0,-4.081109107303877
2017-02-03,83.8,-7763000000.0,33127000000.0,40890000000.0,32263000000.0,-4.155996393146979
2017-02-06,82.67,-7763000000.0,33127000000.0,40890000000.0,31827950000.0,-4.099954914337241
2017-02-07,82.59,-7763000000.0,33127000000.0,40890000000.0,31797150000.0,-4.095987376014428
2017-02-08,83.0,-7763000000.0,33127000000.0,40890000000.0,31955000000.0,-4.116321009918845
2017-02-09,83.64,-7763000000.0,33127000000.0,40890000000.0,32201400000.0,-4.1480613165013525
2017-02-10,83.63,-7763000000.0,33127000000.0,40890000000.0,32197550000.0,-4.147565374211001
2017-02-13,83.75,-7763000000.0,33127000000.0,40890000000.0,32243750000.0,-4.153516681695221
2017-02-14,83.71,-7763000000.0,33127000000.0,40890000000.0,31809800000.0,-4.097616900682726
2017-02-15,84.29,-7763000000.0,33127000000.0,40890000000.0,32030200000.0,-4.126007986603117
2017-02-16,84.14,-7763000000.0,33127000000.0,40890000000.0,31973200000.0,-4.118665464382326
2017-02-17,84.63,-7763000000.0,33127000000.0,40890000000.0,32159400000.0,-4.142651036970244
2017-02-21,85.74,-7763000000.0,33127000000.0,40890000000.0,32581200000.0,-4.196985701404096
2017-02-22,85.91,-7302000000.0,33758000000.0,41060000000.0,32645800000.0,-4.470802519857573
2017-02-23,86.45,-7302000000.0,33758000000.0,41060000000.0,32851000000.0,-4.498904409750753
2017-02-24,87.07,-7302000000.0,33758000000.0,41060000000.0,33086600000.0,-4.531169542591071
