date,close price,HON_SHE,HON_TA,HON_TL,market cap,PB Ratio
2007-10-16,58.31,7800000000.0,31771000000.0,23971000000.0,44534262500.0,5.709520833333333
2007-10-17,57.87,7800000000.0,31771000000.0,23971000000.0,44198212500.0,5.6664375
2007-10-18,57.86,7800000000.0,31771000000.0,23971000000.0,44190575000.0,5.6654583333333335
2007-10-19,55.6,8255000000.0,32902000000.0,24647000000.0,42464500000.0,5.144094488188976
2007-10-22,55.43,8255000000.0,32902000000.0,24647000000.0,42334662500.0,5.1283661417322834
2007-10-23,55.96,8255000000.0,32902000000.0,24647000000.0,42739450000.0,5.17740157480315
2007-10-24,55.98,8255000000.0,32902000000.0,24647000000.0,42754725000.0,5.179251968503937
2007-10-25,56.37,8255000000.0,32902000000.0,24647000000.0,43052587500.0,5.215334645669292
2007-10-26,56.67,8255000000.0,32902000000.0,24647000000.0,43281712500.0,5.243090551181102
2007-10-29,56.93,8255000000.0,32902000000.0,24647000000.0,43480287500.0,5.267145669291339
2007-10-30,57.12,8255000000.0,32902000000.0,24647000000.0,43625400000.0,5.284724409448819
2007-10-31,57.59,8255000000.0,32902000000.0,24647000000.0,43984362500.0,5.328208661417323
2007-11-01,56.29,8255000000.0,32902000000.0,24647000000.0,42991487500.0,5.207933070866142
2007-11-02,56.58,8255000000.0,32902000000.0,24647000000.0,43212975000.0,5.234763779527559
2007-11-05,57.12,8255000000.0,32902000000.0,24647000000.0,43625400000.0,5.284724409448819
2007-11-06,58.15,8255000000.0,32902000000.0,24647000000.0,44412062500.0,5.38001968503937
2007-11-07,56.29,8255000000.0,32902000000.0,24647000000.0,42991487500.0,5.207933070866142
2007-11-08,56.53,8255000000.0,32902000000.0,24647000000.0,43174787500.0,5.23013779527559
2007-11-09,55.07,8255000000.0,32902000000.0,24647000000.0,42059712500.0,5.09505905511811
2007-11-12,54.47,8255000000.0,32902000000.0,24647000000.0,41601462500.0,5.039547244094488
2007-11-13,55.43,8255000000.0,32902000000.0,24647000000.0,42334662500.0,5.1283661417322834
2007-11-14,55.79,8255000000.0,32902000000.0,24647000000.0,42609612500.0,5.161673228346457
2007-11-15,54.49,8255000000.0,32902000000.0,24647000000.0,41616737500.0,5.041397637795275
2007-11-16,53.27,8255000000.0,32902000000.0,24647000000.0,40684962500.0,4.928523622047244
2007-11-19,52.21,8255000000.0,32902000000.0,24647000000.0,39875387500.0,4.830452755905512
2007-11-20,51.97,8255000000.0,32902000000.0,24647000000.0,39692087500.0,4.808248031496063
2007-11-21,51.4,8255000000.0,32902000000.0,24647000000.0,39256750000.0,4.755511811023622
2007-11-23,52.12,8255000000.0,32902000000.0,24647000000.0,39806650000.0,4.822125984251969
2007-11-26,50.71,8255000000.0,32902000000.0,24647000000.0,38729762500.0,4.691673228346457
2007-11-27,51.53,8255000000.0,32902000000.0,24647000000.0,39356037500.0,4.76753937007874
2007-11-28,52.99,8255000000.0,32902000000.0,24647000000.0,40471112500.0,4.9026181102362205
2007-11-29,52.32,8255000000.0,32902000000.0,24647000000.0,39959400000.0,4.8406299212598425
2007-11-30,53.98,8255000000.0,32902000000.0,24647000000.0,41227225000.0,4.994212598425197
2007-12-03,54.4,8255000000.0,32902000000.0,24647000000.0,41548000000.0,5.033070866141732
2007-12-04,54.0,8255000000.0,32902000000.0,24647000000.0,41242500000.0,4.996062992125984
2007-12-05,55.04,8255000000.0,32902000000.0,24647000000.0,42036800000.0,5.092283464566929
2007-12-06,55.51,8255000000.0,32902000000.0,24647000000.0,42395762500.0,5.135767716535433
2007-12-07,55.78,8255000000.0,32902000000.0,24647000000.0,42601975000.0,5.160748031496063
2007-12-10,56.71,8255000000.0,32902000000.0,24647000000.0,43312262500.0,5.246791338582677
2007-12-11,55.63,8255000000.0,32902000000.0,24647000000.0,42487412500.0,5.146870078740157
2007-12-12,55.05,8255000000.0,32902000000.0,24647000000.0,42044437500.0,5.093208661417322
2007-12-13,57.82,8255000000.0,32902000000.0,24647000000.0,44160025000.0,5.349488188976378
2007-12-14,57.18,8255000000.0,32902000000.0,24647000000.0,43671225000.0,5.290275590551181
2007-12-17,57.39,8255000000.0,32902000000.0,24647000000.0,43831612500.0,5.309704724409449
2007-12-18,57.76,8255000000.0,32902000000.0,24647000000.0,44114200000.0,5.343937007874016
2007-12-19,58.24,8255000000.0,32902000000.0,24647000000.0,44480800000.0,5.388346456692913
2007-12-20,57.86,8255000000.0,32902000000.0,24647000000.0,44190575000.0,5.353188976377953
2007-12-21,57.88,8255000000.0,32902000000.0,24647000000.0,44205850000.0,5.35503937007874
2007-12-24,58.66,8255000000.0,32902000000.0,24647000000.0,44801575000.0,5.427204724409449
2007-12-26,58.89,8255000000.0,32902000000.0,24647000000.0,44977237500.0,5.4484842519685035
2007-12-27,58.34,8255000000.0,32902000000.0,24647000000.0,44557175000.0,5.3975984251968505
2007-12-28,58.35,8255000000.0,32902000000.0,24647000000.0,44564812500.0,5.398523622047244
2007-12-31,58.7,8255000000.0,32902000000.0,24647000000.0,44832125000.0,5.430905511811024
2008-01-02,57.11,8255000000.0,32902000000.0,24647000000.0,42208885013.49,5.113129620047244
2008-01-03,57.39,8255000000.0,32902000000.0,24647000000.0,42415827542.01,5.138198369716536
2008-01-04,55.56,8255000000.0,32902000000.0,24647000000.0,41063310302.04,4.974356184377953
2008-01-07,55.37,8255000000.0,32902000000.0,24647000000.0,40922885014.83,4.957345247102363
2008-01-08,54.43,8255000000.0,32902000000.0,24647000000.0,40228149383.37,4.8731858732125986
2008-01-09,54.91,8255000000.0,32902000000.0,24647000000.0,40582908003.689995,4.916160872645668
2008-01-10,55.12,8255000000.0,32902000000.0,24647000000.0,40738114900.08,4.934962434897638
2008-01-11,54.15,8255000000.0,32902000000.0,24647000000.0,40021206854.85,4.8481171235433065
