date,VRSK,VRSK_SHE,PB Ratio
2016-12-30,13893996499.24,1475430000.0,9.416913373891001
2017-01-03,13836668097.839998,1475430000.0,9.378057988410157
2017-01-04,13945564649.519999,1475430000.0,9.451864642524551
2017-01-05,13894519390.92,1475430000.0,9.41726777340843
2017-01-06,14017028011.56,1475430000.0,9.500300259287123
2017-01-09,13906429951.26,1475430000.0,9.425340376202191
2017-01-10,13996609908.12,1475430000.0,9.486461511640675
2017-01-11,14079983830.5,1475430000.0,9.542969731197006
2017-01-12,14006818959.839998,1475430000.0,9.493380885463898
2017-01-13,14059565727.06,1475430000.0,9.529130983550559
2017-01-17,13875802796.1,1475430000.0,9.404582254732519
2017-01-18,13795831890.96,1475430000.0,9.35038049311726
2017-01-19,13768607753.04,1475430000.0,9.331928829588662
2017-01-20,13843474132.32,1475430000.0,9.382670904292308
2017-01-23,13812846977.160002,1475430000.0,9.361912782822635
2017-01-24,13981296330.54,1475430000.0,9.476082450905839
2017-01-25,14069774778.779999,1475430000.0,9.536050357373782
2017-01-26,14042550640.86,1475430000.0,9.517598693845185
2017-01-27,14068073270.160002,1475430000.0,9.534897128403246
2017-01-30,14078282321.88,1475430000.0,9.54181650222647
2017-01-31,14061267235.68,1475430000.0,9.530284212521096
2017-02-01,13911534477.12,1475430000.0,9.428800063113805
2017-02-02,13977893313.300001,1475430000.0,9.473775992964764
2017-02-03,14210999994.24,1475430000.0,9.631768361928387
2017-02-06,14168462278.74,1475430000.0,9.602937637664951
2017-02-07,14124223054.62,1475430000.0,9.57295368443098
2017-02-08,14226313571.82,1475430000.0,9.642147422663223
2017-02-09,14304582968.339998,1475430000.0,9.695195955307943
2017-02-10,14381150856.24,1475430000.0,9.747091258982127
2017-02-13,14456017235.519999,1475430000.0,9.797833333685771
2017-02-14,14478136847.58,1475430000.0,9.81282531030276
2017-02-15,14253537709.74,1475430000.0,9.660599086191821
2017-02-16,14338613140.74,1475430000.0,9.718260534718691
2017-02-17,14445808183.800001,1475430000.0,9.79091395986255
2017-02-21,14495151933.779999,1332400000.0,10.87897923580006
2017-02-22,13991505382.26,1332400000.0,10.50097972250075
2017-02-23,14095297408.08,1332400000.0,10.578878270849595
2017-02-24,14284164864.9,1332400000.0,10.720628088336836
2017-02-27,14256940726.980001,1332400000.0,10.70019568221255
2017-02-28,14108909477.04,1332400000.0,10.58909447391174
2017-03-01,14347120683.839998,1332400000.0,10.767878027499249
2017-03-02,14236522623.54,1332400000.0,10.684871377619334
2017-03-03,14284164864.9,1332400000.0,10.720628088336836
2017-03-06,14100401933.94,1332400000.0,10.582709346997898
2017-03-07,13925146546.08,1332400000.0,10.451175732572802
2017-03-08,13732876072.019999,1332400000.0,10.306871864320023
2017-03-09,13620576503.1,1332400000.0,10.22258818905734
2017-03-10,13601859908.279999,1332400000.0,10.208540909846892
2017-03-13,13571232753.12,1332400000.0,10.18555445295707
2017-03-14,13501470899.699999,1332400000.0,10.133196412263583
2017-03-15,13623979520.339998,1332400000.0,10.225142239822874
2017-03-16,13671621761.699999,1332400000.0,10.260898950540378
2017-03-17,13814548485.779999,1332400000.0,10.368169082692884
2017-03-20,13773712278.9,1332400000.0,10.337520473506455
2017-03-21,13549113141.06,1332400000.0,10.168953122981087
2017-03-22,13617173485.86,1332400000.0,10.220034138291805
2017-03-23,13605262925.519999,1332400000.0,10.211094960612428
2017-03-24,13562725210.019999,1332400000.0,10.17916932604323
2017-03-27,13557620684.160002,1332400000.0,10.175338249894928
2017-03-28,13622278011.720001,1332400000.0,10.223865214440108
2017-03-29,13688636847.9,1332400000.0,10.273669204368057
2017-03-30,13746488140.980001,1332400000.0,10.31708806738217
2017-03-31,13806040942.68,1332400000.0,10.361783955779046
2017-04-03,13511529107.36,1332400000.0,10.140745352266586
2017-04-04,13530144691.050001,1332400000.0,10.154716820061545
2017-04-05,13445528401.550001,1332400000.0,10.091210148266287
2017-04-06,13453990030.5,1332400000.0,10.097560815445812
2017-04-07,13418451188.910002,1332400000.0,10.070888013291805
2017-04-10,13448913053.13,1332400000.0,10.093750415138096
2017-04-11,13475990265.769999,1332400000.0,10.114072550112578
2017-04-12,13409989559.96,1332400000.0,10.064537346112278
2017-04-13,13387989324.69,1332400000.0,10.048025611445512
2017-04-17,13550452600.529999,1332400000.0,10.169958421292403
2017-04-18,13645222844.769999,1332400000.0,10.24108589370309
2017-04-19,13668915405.83,1332400000.0,10.258867761805764
2017-04-20,13770454953.230001,1332400000.0,10.335075767960074
