date,close price,SWKS_SHE,SWKS_TA,SWKS_TL,market cap,PB Ratio
2019-04-03,85.36,4038300000.0,4738900000.0,700600000.0,14955072000.0,3.703308818067008
2019-04-04,85.51,4038300000.0,4738900000.0,700600000.0,14981352000.0,3.7098165069459923
2019-04-05,86.8,4038300000.0,4738900000.0,700600000.0,15207360000.0,3.7657826313052523
2019-04-08,87.65,4038300000.0,4738900000.0,700600000.0,15356280000.000002,3.802659534952827
2019-04-09,87.07,4038300000.0,4738900000.0,700600000.0,15254663999.999998,3.7774964712874226
2019-04-10,88.05,4038300000.0,4738900000.0,700600000.0,15426360000.0,3.82001337196345
2019-04-11,88.24,4038300000.0,4738900000.0,700600000.0,15459648000.0,3.828256444543496
2019-04-12,90.68,4038300000.0,4738900000.0,700600000.0,15887136000.000002,3.9341148503082985
2019-04-15,90.28,4038300000.0,4738900000.0,700600000.0,15817056000.0,3.9167610132976747
2019-04-16,93.56,4038300000.0,4738900000.0,700600000.0,16391712000.0,4.059062476784786
2019-04-17,91.18,4038300000.0,4738900000.0,700600000.0,15974736000.000002,3.9558071465715776
2019-04-18,90.0,4038300000.0,4738900000.0,700600000.0,15768000000.0,3.9046133273902384
2019-04-22,88.27,4038300000.0,4738900000.0,700600000.0,15464904000.0,3.829557982319293
2019-04-23,89.24,4038300000.0,4738900000.0,700600000.0,15634848000.0,3.871641037070054
2019-04-24,89.9,4038300000.0,4738900000.0,700600000.0,15750480000.000002,3.900274868137583
2019-04-25,88.53,4038300000.0,4738900000.0,700600000.0,15510456000.0,3.8408379763761977
2019-04-26,87.02,4038300000.0,4738900000.0,700600000.0,15245904000.0,3.775327241661095
2019-04-29,86.8,4038300000.0,4738900000.0,700600000.0,15207360000.0,3.7657826313052523
2019-04-30,88.18,4038300000.0,4738900000.0,700600000.0,15449136000.000002,3.8256533689919032
2019-05-01,88.48,4038300000.0,4738900000.0,700600000.0,15501696000.0,3.83866874674987
2019-05-02,90.79,4038300000.0,4738900000.0,700600000.0,15906408000.000002,3.9388871554862197
2019-05-03,87.6,4080900000.0,4765500000.0,684600000.0,15347519999.999998,3.7608174667352787
