date,close price,DOW_SHE,DOW_TA,DOW_TL,market cap,PB Ratio
2019-12-17,54.66,17399000000.0,64937000000.0,47538000000.0,40585050000.0,2.332608195873326
2019-12-18,54.25,17399000000.0,64937000000.0,47538000000.0,40280625000.0,2.3151115006609575
2019-12-19,54.52,17399000000.0,64937000000.0,47538000000.0,40481100000.0,2.326633714581298
2019-12-20,54.61,17399000000.0,64937000000.0,47538000000.0,40547925000.0,2.3304744525547445
2019-12-23,54.93,17399000000.0,64937000000.0,47538000000.0,40785525000.0,2.3441304097936664
2019-12-24,54.9,17399000000.0,64937000000.0,47538000000.0,40763250000.0,2.342850163802517
2019-12-26,55.22,17399000000.0,64937000000.0,47538000000.0,41000850000.0,2.356506121041439
2019-12-27,54.83,17399000000.0,64937000000.0,47538000000.0,40711275000.0,2.3398629231565033
2019-12-30,54.34,17399000000.0,64937000000.0,47538000000.0,40347450000.0,2.318952238634404
2019-12-31,54.73,17399000000.0,64937000000.0,47538000000.0,40637025000.0,2.3355954365193403
2020-01-02,53.75,17399000000.0,64937000000.0,47538000000.0,39909375000.0,2.2937740674751423
2020-01-03,52.42,17399000000.0,64937000000.0,47538000000.0,38921850000.0,2.2370164952008738
2020-01-06,52.21,17399000000.0,64937000000.0,47538000000.0,38765925000.0,2.2280547732628313
2020-01-07,52.19,17399000000.0,64937000000.0,47538000000.0,38751075000.0,2.2272012759353985
2020-01-08,52.73,17399000000.0,64937000000.0,47538000000.0,39152025000.0,2.2502457037760792
2020-01-09,52.19,17399000000.0,64937000000.0,47538000000.0,38751075000.0,2.2272012759353985
2020-01-10,51.5,17399000000.0,64937000000.0,47538000000.0,38238750000.0,2.1977556181389737
2020-01-13,52.35,17399000000.0,64937000000.0,47538000000.0,38869875000.0,2.2340292545548595
2020-01-14,52.24,17399000000.0,64937000000.0,47538000000.0,38788200000.0,2.22933501925398
2020-01-15,52.27,17399000000.0,64937000000.0,47538000000.0,38810475000.0,2.230615265245129
2020-01-16,52.48,17399000000.0,64937000000.0,47538000000.0,38966400000.0,2.2395769871831717
2020-01-17,53.34,17399000000.0,64937000000.0,47538000000.0,39604950000.0,2.276277372262774
2020-01-21,52.6,17399000000.0,64937000000.0,47538000000.0,39055500000.0,2.244697971147767
2020-01-22,50.87,17399000000.0,64937000000.0,47538000000.0,37770975000.0,2.1708704523248463
2020-01-23,50.25,17399000000.0,64937000000.0,47538000000.0,37310625000.0,2.1444120351744353
2020-01-24,48.49,17399000000.0,64937000000.0,47538000000.0,36003825000.0,2.0693042703603655
2020-01-27,47.18,17399000000.0,64937000000.0,47538000000.0,35031150000.0,2.0134001954135297
2020-01-28,47.16,17399000000.0,64937000000.0,47538000000.0,35016300000.0,2.012546698086097
2020-01-29,49.67,17399000000.0,64937000000.0,47538000000.0,36879975000.0,2.1196606126788895
2020-01-30,48.47,17399000000.0,64937000000.0,47538000000.0,35988975000.0,2.068450773032933
2020-01-31,46.07,17399000000.0,64937000000.0,47538000000.0,34206975000.0,1.9660310937410197
2020-02-03,46.74,17399000000.0,64937000000.0,47538000000.0,34704450000.0,1.994623254210012
2020-02-04,48.05,17399000000.0,64937000000.0,47538000000.0,35677125000.0,2.050527329156848
2020-02-05,49.61,17399000000.0,64937000000.0,47538000000.0,36835425000.0,2.1171001206965916
2020-02-06,49.2,17399000000.0,64937000000.0,47538000000.0,36531000000.0,2.099603425484223
2020-02-07,48.03,13541000000.0,60524000000.0,46983000000.0,35662275000.0,2.633651502843217
2020-02-10,48.19,13541000000.0,60524000000.0,46983000000.0,35781075000.0,2.6424248578391554
2020-02-11,48.79,13541000000.0,60524000000.0,46983000000.0,36226575000.0,2.6753249390739238
2020-02-12,49.38,13541000000.0,60524000000.0,46983000000.0,36664650000.0,2.707676685621446
2020-02-13,48.3,13541000000.0,60524000000.0,46983000000.0,35862750000.0,2.648456539398863
2020-02-14,48.63,13541000000.0,60524000000.0,46983000000.0,36107775000.0,2.666551584077985
2020-02-18,47.74,13541000000.0,60524000000.0,46983000000.0,35446950000.0,2.617749796913079
2020-02-19,47.56,13541000000.0,60524000000.0,46983000000.0,35313300000.0,2.607879772542648
2020-02-20,48.76,13541000000.0,60524000000.0,46983000000.0,36204300000.0,2.6736799350121854
2020-02-21,48.3,13541000000.0,60524000000.0,46983000000.0,35862750000.0,2.648456539398863
2020-02-24,46.24,13541000000.0,60524000000.0,46983000000.0,34333200000.0,2.5354995938261577
2020-02-25,43.95,13541000000.0,60524000000.0,46983000000.0,32632875000.000004,2.4099309504467916
2020-02-26,43.05,13541000000.0,60524000000.0,46983000000.0,31964624999.999996,2.3605808285946384
2020-02-27,39.55,13541000000.0,60524000000.0,46983000000.0,29365874999.999996,2.168663688058489
