date,WFC,WFC_SHE,PB Ratio
2003-12-24,49514049309.48,69436000000.0,0.7130890216815485
2003-12-26,49582016432.76,69436000000.0,0.7140678672844059
2003-12-29,49938843829.98,69436000000.0,0.7192068066994067
2003-12-30,50074778076.54,69436000000.0,0.7211644979051213
2003-12-31,50040794514.9,69436000000.0,0.7206750751036927
2004-01-02,49887728138.399994,69436000000.0,0.7184706512241488
2004-01-05,50145058235.4,69436000000.0,0.722176655271041
2004-01-06,49973504837.4,69436000000.0,0.7197059859064463
2004-01-07,49458844643.399994,69436000000.0,0.7122939778126619
2004-01-08,49458844643.399994,69436000000.0,0.7122939778126619
2004-01-09,49218669886.200005,69436000000.0,0.7088350407022295
2004-01-12,48858407750.4,69436000000.0,0.7036466350365804
2004-01-13,48275126197.200005,69436000000.0,0.6952463591969584
2004-01-14,48326592216.600006,69436000000.0,0.6959875600063369
2004-01-15,48463834935.0,69436000000.0,0.6979640954980125
2004-01-16,49047116488.2,69436000000.0,0.7063643713376346
2004-01-20,49184359206.600006,69436000000.0,0.7083409068293105
2004-01-21,49613242701.600006,69436000000.0,0.7145175802407974
2004-01-22,48978495129.0,69436000000.0,0.7053761035917968
2004-01-23,48755475711.600006,69436000000.0,0.7021642334178237
2004-01-26,49784796099.6,69436000000.0,0.716988249605392
2004-01-27,49252980565.8,69436000000.0,0.7093291745751484
2004-01-28,48944184449.4,69436000000.0,0.7048819697188778
2004-01-29,49613242701.600006,69436000000.0,0.7145175802407974
2004-01-30,49252980565.8,69436000000.0,0.7093291745751484
2004-02-02,49373067944.4,69436000000.0,0.7110586431303647
2004-02-03,49716174740.4,69436000000.0,0.7159999818595542
2004-02-04,48978495129.0,69436000000.0,0.7053761035917968
2004-02-05,48944184449.4,69436000000.0,0.7048819697188778
2004-02-06,49716174740.4,69436000000.0,0.7159999818595542
2004-02-09,49475999983.2,69436000000.0,0.7125410447491215
2004-02-10,49390223284.2,69436000000.0,0.7113057100668241
2004-02-11,49922038818.0,69436000000.0,0.7189647850970678
2004-02-12,49235825226.0,69436000000.0,0.7090821076386888
2004-02-13,49201514546.4,69436000000.0,0.70858797376577
2004-02-17,49235825226.0,69436000000.0,0.7090821076386888
2004-02-18,48858407750.4,69436000000.0,0.7036466350365804
2004-02-19,49390223284.2,69436000000.0,0.7113057100668241
2004-02-20,48806941731.0,69436000000.0,0.702905434227202
2004-02-23,48772631051.4,69436000000.0,0.7024113003542831
2004-02-24,48652543672.799995,69436000000.0,0.7006818317990667
2004-02-25,49098582507.6,69436000000.0,0.7071055721470131
2004-02-26,49115737847.4,69436000000.0,0.7073526390834726
2004-02-27,49184359206.600006,69436000000.0,0.7083409068293105
2004-03-01,49441689303.6,69436000000.0,0.7120469108762025
2004-03-02,49167203866.8,69436000000.0,0.708093839892851
2004-03-03,49544621342.4,69436000000.0,0.7135293124949594
2004-03-04,49853417458.799995,69436000000.0,0.7179765173512298
2004-03-05,50093592216.0,69436000000.0,0.7214354544616626
2004-03-08,50265145614.0,69436000000.0,0.7239061238262573
2004-03-09,50127902895.6,69436000000.0,0.7219295883345814
2004-03-10,50127902895.6,69436000000.0,0.7219295883345814
2004-03-11,49510310662.799995,69436000000.0,0.7130351786220404
2004-03-12,49681864060.8,74310000000.0,0.668575751053694
2004-03-15,49561776682.200005,74310000000.0,0.6669597185062577
2004-03-16,49819106779.2,74310000000.0,0.6704226453936213
2004-03-17,50059281536.4,74310000000.0,0.6736547104884941
2004-03-18,50024970856.8,74310000000.0,0.6731929869035124
2004-03-19,49390223284.2,74310000000.0,0.6646511005813484
2004-03-22,48721165032.0,74310000000.0,0.6556474906742027
2004-03-23,48566766973.799995,74310000000.0,0.6535697345417844
2004-03-24,48532456294.2,74310000000.0,0.6531080109568026
