date,LLY,LLY_SHE,PB Ratio
2003-11-10,70486050413.56,0.0,inf
2003-11-11,69948235287.56,0.0,inf
2003-11-12,71195966379.88,0.0,inf
2003-11-13,74272268900.59999,0.0,inf
2003-11-14,76670924362.56,0.0,inf
2003-11-17,76047058816.40001,0.0,inf
2003-11-18,76305210076.88,0.0,inf
2003-11-19,78026218480.08,0.0,inf
2003-11-20,76939831925.56,0.0,inf
2003-11-21,74874621841.72,0.0,inf
2003-11-24,75831932766.0,0.0,inf
2003-11-25,76014789908.84,0.0,inf
2003-11-26,74541176463.59999,0.0,inf
2003-11-28,74003361337.59999,0.0,inf
2003-12-01,75616806715.59999,0.0,inf
2003-12-02,74756302514.0,0.0,inf
2003-12-03,74196974782.96,0.0,inf
2003-12-04,74229243690.52,0.0,inf
2003-12-05,74003361337.59999,0.0,inf
2003-12-08,75326386547.56,0.0,inf
2003-12-09,75885714278.59999,0.0,inf
2003-12-10,75724369740.8,0.0,inf
2003-12-11,77230252093.59999,0.0,inf
2003-12-12,77649747891.88,0.0,inf
2003-12-15,77111932765.88,0.0,inf
2003-12-16,78832941169.08,0.0,inf
2003-12-17,77961680664.96,0.0,inf
2003-12-18,78650084026.24,0.0,inf
2003-12-19,79478319320.28,0.0,inf
2003-12-22,77660504194.40001,0.0,inf
2003-12-23,75853445371.04,0.0,inf
2003-12-24,75831932766.0,0.0,inf
2003-12-26,75961008396.24,0.0,inf
2003-12-29,77036638648.24,0.0,inf
2003-12-30,76294453774.36,0.0,inf
2003-12-31,75649075623.16,0.0,inf
2004-01-02,77016216210.43999,0.0,inf
2004-01-05,75881081075.39,0.0,inf
2004-01-06,75816216210.53,0.0,inf
2004-01-07,75481081075.42,0.0,inf
2004-01-08,73621621616.09999,0.0,inf
2004-01-09,73059459453.98,0.0,inf
2004-01-12,74410810805.23,0.0,inf
2004-01-13,74162162156.59999,0.0,inf
2004-01-14,74810810805.2,0.0,inf
2004-01-15,75145945940.31001,0.0,inf
2004-01-16,75740540534.86,0.0,inf
2004-01-20,75405405399.75,0.0,inf
2004-01-21,76540540534.8,0.0,inf
2004-01-22,76702702696.95,0.0,inf
2004-01-23,75091891886.26,0.0,inf
2004-01-26,74475675670.09,0.0,inf
2004-01-27,73999999994.45,0.0,inf
2004-01-28,72345945940.52,0.0,inf
2004-01-29,73945945940.40001,0.0,inf
2004-01-30,73556756751.24,0.0,inf
2004-02-02,74648648643.05,0.0,inf
2004-02-03,75027027021.40001,0.0,inf
2004-02-04,76216216210.5,0.0,inf
2004-02-05,77243243237.45,0.0,inf
2004-02-06,78756756750.84999,0.0,inf
2004-02-09,79156756750.81999,0.0,inf
2004-02-10,80583783777.74,0.0,inf
2004-02-11,80756756750.7,0.0,inf
2004-02-12,79545945939.98,0.0,inf
2004-02-13,79459459453.5,0.0,inf
2004-02-17,78875675669.76,0.0,inf
2004-02-18,78335135129.26,0.0,inf
2004-02-19,78540540534.65001,0.0,inf
2004-02-20,78345945940.06999,0.0,inf
2004-02-23,77859459453.62,0.0,inf
2004-02-24,78237837831.97,0.0,inf
2004-02-25,78691891885.99,0.0,inf
2004-02-26,79567567561.59999,0.0,inf
2004-02-27,79935135129.14,0.0,inf
2004-03-01,79394594588.64,0.0,inf
2004-03-02,78518918913.03,0.0,inf
2004-03-03,79005405399.48,0.0,inf
2004-03-04,79048648642.72,0.0,inf
2004-03-05,79416216210.26,0.0,inf
2004-03-08,78702702696.8,0.0,inf
2004-03-09,77675675669.84999,0.0,inf
2004-03-10,76205405399.68999,0.0,inf
2004-03-11,74778378372.77,0.0,inf
2004-03-12,76681081075.33,0.0,inf
2004-03-15,75329729724.08,0.0,inf
2004-03-16,76399999994.27,0.0,inf
2004-03-17,75491891886.23,0.0,inf
2004-03-18,75481081075.42,0.0,inf
2004-03-19,74194594589.03,0.0,inf
2004-03-22,73470270264.76,0.0,inf
2004-03-23,73027027021.55,0.0,inf
2004-03-24,71881081075.68999,0.0,inf
2004-03-25,70810810805.5,0.0,inf
2004-03-26,70270270265.0,0.0,inf
2004-03-29,70918918913.59999,0.0,inf
2004-03-30,71135135129.8,0.0,inf
2004-03-31,72324324318.90001,0.0,inf
2004-04-01,72911428532.79999,0.0,inf
2004-04-02,74097857103.6,0.0,inf
2004-04-05,74583214246.20001,0.0,inf
2004-04-06,74184142817.84,0.0,inf
2004-04-07,74852857103.20001,0.0,inf
2004-04-08,74291999960.64,0.0,inf
2004-04-12,74647928531.87999,0.0,inf
2004-04-13,74788142817.52,0.0,inf
2004-04-14,75942214245.48,0.0,inf
2004-04-15,78627857101.20001,0.0,inf
2004-04-16,78142499958.6,0.0,inf
2004-04-19,79167142815.20001,0.0,inf
2004-04-20,77926785673.0,0.0,inf
2004-04-21,79177928529.48,0.0,inf
2004-04-22,79835857100.56,0.0,inf
2004-04-23,78897499958.20001,0.0,inf
2004-04-26,79113214243.79999,0.0,inf
2004-04-27,79576999957.84,0.0,inf
2004-04-28,79436785672.20001,0.0,inf
2004-04-29,79167142815.20001,0.0,inf
2004-04-30,79609357100.68001,0.0,inf
2004-05-03,80504571385.92,0.0,inf
2004-05-04,81248785671.24,0.0,inf
2004-05-05,81248785671.24,0.0,inf
