date,LDOS,dcf,Deviation
2012-03-26,33.23,37.77809523809524,-0.12038974462399488
2012-03-27,33.04,37.45809523809524,-0.11794767486206814
2012-03-28,32.72,37.35809523809524,-0.12415234793249375
2012-03-29,32.62,37.328095238095244,-0.126127390322622
2012-03-30,32.59,37.35809523809524,-0.12763218273594035
2012-04-02,32.62,37.10809523809524,-0.12094652687771901
2012-04-03,32.37,36.338095238095235,-0.1091993185689949
2012-04-04,31.6,36.14809523809524,-0.125818392591324
2012-04-05,31.41,35.57809523809524,-0.11715341167652649
2012-04-09,30.84,35.228095238095236,-0.12456237580935126
2012-04-10,30.49,35.62809523809524,-0.1442147048209681
2012-04-11,30.89,35.57809523809524,-0.1317691463447278
2012-04-12,30.84,34.95809523809524,-0.11780090448428049
2012-04-13,30.22,34.78809523809524,-0.1313120251865033
2012-04-16,30.05,35.17809523809524,-0.14577523892032374
2012-04-17,30.44,34.618095238095236,-0.12069107815895885
2012-04-18,29.88,34.48809523809524,-0.13361408353469117
2012-04-19,29.75,34.88809523809524,-0.14727359585067912
2012-04-20,30.15,34.93809523809524,-0.137045113806733
2012-04-23,30.2,34.43809523809524,-0.1230641592920354
2012-04-24,29.7,34.31809523809524,-0.13456735305544765
2012-04-25,29.58,34.41809523809524,-0.14056836105038883
2012-04-26,29.68,34.63809523809524,-0.14313995050866102
2012-04-27,29.9,34.75809523809524,-0.13976874177992105
2012-04-30,30.02,33.806363636363635,-0.11200150590260038
2012-05-01,30.27,33.68636363636364,-0.10141681284576987
2012-05-02,30.15,32.42636363636364,-0.07020101488687669
2012-05-03,28.89,31.976363636363637,-0.09652015693409899
2012-05-04,28.44,31.416363636363638,-0.09473927889345446
2012-05-07,27.88,31.166363636363638,-0.10544584779628396
2012-05-08,27.63,31.186363636363637,-0.11403585483165724
2012-05-09,27.65,31.236363636363638,-0.11481373690337615
2012-05-10,27.7,31.186363636363637,-0.11179128406937766
2012-05-11,27.65,30.916363636363638,-0.10565161138555645
