date,FDX,dcf,Deviation
2008-11-26,69.23,75.68851564035174,-0.08533019290589061
2008-11-28,70.65,68.39072976257545,0.033034743820804735
2008-12-01,63.45,72.02072976257544,-0.11900365062711571
2008-12-02,67.08,75.02072976257544,-0.10584714101963755
2008-12-03,70.08,75.87072976257545,-0.07632363337872927
2008-12-04,70.93,78.65072976257544,-0.09816475684182657
2008-12-05,73.71,79.37072976257545,-0.07132011737209176
2008-12-08,74.43,68.59072976257544,0.08513206168875898
2008-12-09,63.65,65.96072976257544,-0.035031901115904485
2008-12-10,61.02,63.55072976257544,-0.03982219829780409
2008-12-11,58.61,66.28072976257545,-0.11573091892700649
2008-12-12,61.34,65.15072976257545,-0.05849097587183816
2008-12-15,60.21,68.33072976257544,-0.11884447584259727
2008-12-16,63.39,68.91072976257544,-0.08011422577581928
2008-12-17,63.97,67.54072976257545,-0.05286779955039822
2008-12-18,62.6,68.53072976257545,-0.08654117332651268
2008-12-19,63.59,67.90072976257545,-0.0634857648459527
2008-12-22,62.96,65.80072976257544,-0.043171706040730284
2008-12-23,60.86,66.14072976257545,-0.07984081490379102
2008-12-24,61.2,65.91072976257544,-0.07147136406385568
2008-12-26,60.97,65.08072976257544,-0.06316354745209563
2008-12-29,60.14,67.16072976257544,-0.10453623400750578
2008-12-30,62.22,69.09072976257545,-0.09944503099310342
2008-12-31,64.15,69.38072976257544,-0.07539167980036054
2009-01-02,64.44,68.89072976257545,-0.06460564110605904
2009-01-05,63.95,69.02072976257544,-0.07346676541987096
2009-01-06,64.08,67.59072976257544,-0.05194099508775096
2009-01-07,62.65,67.03072976257545,-0.06535405146403905
2009-01-08,62.09,65.26072976257545,-0.048585570129400235
2009-01-09,60.32,65.25072976257545,-0.07556589451974938
2009-01-12,60.31,65.41072976257544,-0.07798001613939809
2009-01-13,60.47,62.840729762575435,-0.03772600623087152
2009-01-14,57.9,63.50072976257544,-0.08819945508525895
2009-01-15,58.56,63.52072976257544,-0.07809623379827979
2009-01-16,58.58,59.92072976257544,-0.022375057311348368
2009-01-20,54.98,61.820729762575446,-0.11065430299589629
2009-01-21,56.88,61.27072976257544,-0.07166113052006318
