date,AIG,dcf,Deviation
2008-01-14,1186.4,1157.2,0.025233321811268583
2008-01-15,1157.2,1158.2,-0.0008634087376964139
2008-01-16,1158.2,1085.4,0.06707204717154958
2008-01-17,1085.4,1041.0,0.042651296829971264
2008-01-18,1041.0,1048.2,-0.006868918145392144
2008-01-22,1048.2,1096.2,-0.04378762999452657
2008-01-23,1096.2,1100.8,-0.00417877906976738
2008-01-24,1100.8,1064.4,0.03419767004885377
2008-01-25,1064.4,1095.0,-0.027945205479452007
2008-01-28,1095.0,1134.6,-0.03490216816499203
2008-01-29,1134.6,1087.4,0.043406290233584555
2008-01-30,1087.4,1099.4,-0.010915044569765331
2008-01-31,1099.4,1114.6,-0.013637179257132481
2008-02-01,1114.6,1108.6,0.0054122316435143425
2008-02-04,1108.6,1058.6,0.0472321934630644
2008-02-05,1058.6,1042.0,0.015930902111324308
2008-02-06,1042.0,1033.0,0.00871248789932233
2008-02-07,1033.0,1013.6,0.019139700078926625
2008-02-08,1013.6,894.8,0.1327670987930265
2008-02-11,894.8,922.8,-0.030342436064152545
2008-02-12,922.8,910.4,0.013620386643233617
2008-02-13,910.4,910.0,0.0004395604395603936
2008-02-14,910.0,922.2,-0.013229234439384174
2008-02-15,922.2,940.6,-0.019561981713799637
2008-02-19,940.6,958.0,-0.018162839248434204
2008-02-20,958.0,951.8,0.0065139735238495255
2008-02-21,951.8,977.6,-0.026391162029460014
2008-02-22,977.6,1007.6,-0.029773719730051607
2008-02-25,1007.6,1028.4,-0.020225593154414634
2008-02-26,1028.4,1045.0,-0.015885167464114724
2008-02-27,1045.0,1003.0,0.04187437686939188
2008-02-28,1003.0,937.2,0.07020913358941527
2008-02-29,937.2,933.8,0.0036410366245449577
2008-03-03,933.8,916.6,0.01876500109098833
2008-03-04,916.6,892.2,0.027348128222371537
2008-03-05,892.2,857.6,0.04034514925373145
2008-03-06,857.6,857.6,0.0
2008-03-07,857.6,839.0,0.02216924910607876
2008-03-10,839.0,880.0,-0.04659090909090913
2008-03-11,880.0,873.0,0.008018327605956443
2008-03-12,873.0,849.6,0.02754237288135597
2008-03-13,849.6,823.6,0.03156872268091315
2008-03-14,823.6,796.0,0.03467336683417099
2008-03-17,796.0,873.4,-0.08861918937485691
2008-03-18,873.4,843.6,0.03532479848269321
2008-03-19,843.6,900.2,-0.06287491668518108
2008-03-20,900.2,922.2,-0.023855996530036894
2008-03-24,922.2,916.2,0.0065487884741322056
2008-03-25,916.2,881.2,0.03971856559237397
2008-03-26,881.2,869.2,0.013805798435342798
2008-03-27,869.2,856.0,0.015420560747663625
2008-03-28,856.0,865.0,-0.010404624277456698
2008-03-31,865.0,940.9853952596978,-0.08075087630741284
2008-04-01,940.0,938.3853952596977,0.0017206200655492943
2008-04-02,937.4,940.7853952596978,-0.003598477694015778
2008-04-03,939.8,946.9853952596978,-0.0075876516107488134
2008-04-04,946.0,961.7853952596978,-0.01641259613370971
2008-04-07,960.8,935.9853952596978,0.026511743522896536
2008-04-08,935.0,912.1853952596978,0.025010929640905788
2008-04-09,911.2,912.1853952596978,-0.0010802576590444035
2008-04-10,911.2,881.9853952596978,0.0331236831100814
2008-04-11,881.0,866.7853952596977,0.016399220404542447
2008-04-14,865.8,883.1853952596978,-0.019684876304578935
2008-04-15,882.2,910.3853952596977,-0.03095984997832424
2008-04-16,909.4,924.3853952596977,-0.016211198637001045
2008-04-17,923.4,965.5853952596979,-0.04368893260688966
2008-04-18,964.6,931.7853952596978,0.03521691250715131
2008-04-21,930.8,906.3853952596977,0.02693622918902716
2008-04-22,905.4,878.1853952596978,0.03098958931360296
2008-04-23,877.2,940.3853952596977,-0.06719095764162553
2008-04-24,939.4,951.5853952596979,-0.012805361789282599
2008-04-25,950.6,941.7853952596978,0.009359462128706753
2008-04-28,940.8,940.9853952596978,-0.00019702246244401866
2008-04-29,940.0,924.9853952596978,0.0162322614143402
2008-04-30,924.0,963.9853952596978,-0.04147925420480647
2008-05-01,963.0,981.7853952596978,-0.019133911902130873
2008-05-02,980.8,948.7853952596978,0.03374272506749465
2008-05-05,947.8,968.9853952596978,-0.021863482528567957
2008-05-06,968.0,902.5853952596979,0.07247469888594926
2008-05-07,901.6,883.9853952596978,0.0199263526691269
2008-05-08,883.0,806.5853952596977,0.09473839371428117
2008-05-09,805.6,768.3853952596978,0.048432212493737525
2008-05-12,767.4,784.1853952596979,-0.021404881245128404
2008-05-13,783.2,789.7853952596977,-0.008338208454123475
2008-05-14,788.8,792.3853952596978,-0.004524812397031619
2008-05-15,791.4,787.7853952596977,0.004588311438689097
2008-05-16,786.8,779.9853952596978,0.008736836332728037
2008-05-19,779.0,763.3853952596978,0.020454419009405145
2008-05-20,762.4,740.1853952596979,0.03001221705071333
2008-05-21,739.2,757.1853952596979,-0.023752961127214034
2008-05-22,756.2,739.9853952596978,0.021912060486831253
2008-05-23,739.0,733.3853952596978,0.007655735683574694
2008-05-27,732.4,699.1853952596979,0.04750471758347463
2008-05-28,698.2,707.7853952596977,-0.013542798882111184
2008-05-29,706.8,720.9853952596978,-0.01967501055217402
2008-05-30,720.0,718.3853952596978,0.0022475467220746115
2008-06-02,717.4,721.1853952596979,-0.0052488517995220585
2008-06-03,720.2,715.3853952596978,0.006730085310945544
2008-06-04,714.4,729.1853952596979,-0.02027659269619919
2008-06-05,728.2,679.5853952596977,0.07153568201936511
2008-06-06,678.6,670.7853952596977,0.011649932743805325
2008-06-09,669.8,686.5853952596977,-0.024447643913760753
2008-06-10,685.6,666.1853952596979,0.02914294561010866
2008-06-11,665.2,674.5853952596977,-0.01391283494372797
2008-06-12,673.6,684.5853952596977,-0.01604678588787367
2008-06-13,683.6,681.1853952596979,0.0035447100849566038
2008-06-16,680.2,646.5853952596977,0.05198788124003517
2008-06-17,645.6,631.3853952596978,0.022513356892671865
2008-06-18,630.4,662.3853952596978,-0.048288195193611605
2008-06-19,661.4,642.9853952596978,0.028639227074301665
2008-06-20,642.0,606.9853952596978,0.0576860745147274
2008-06-23,606.0,597.5853952596977,0.01408100801500578
2008-06-24,596.6,595.7853952596977,0.0013672788000236302
2008-06-25,594.8,562.7853952596977,0.056885990663508856
2008-06-26,561.8,555.9853952596978,0.01045819690566896
2008-06-27,555.0,530.1853952596979,0.046803636920529135
2008-06-30,529.2,535.4653844401172,-0.011700820673344214
2008-07-01,534.6,535.8653844401172,-0.0023613849240127216
2008-07-02,535.0,525.6653844401171,0.017757714006268577
2008-07-03,524.8,519.6653844401171,0.009880618785903517
2008-07-07,518.8,548.8653844401172,-0.05477733756299119
2008-07-08,548.0,523.6653844401171,0.04646978067091556
2008-07-09,522.8,480.6653844401172,0.08765893472641362
2008-07-10,479.8,462.4653844401172,0.03748305525800366
2008-07-11,461.6,451.86538444011717,0.02154317612079204
2008-07-14,451.0,413.6653844401172,0.09025317796511789
2008-07-15,412.8,466.4653844401172,-0.11504687428099292
2008-07-16,465.6,499.26538444011715,-0.06742983889794385
2008-07-17,498.4,502.26538444011715,-0.007695900533591371
2008-07-18,501.4,531.4653844401172,-0.05657072938398455
2008-07-21,530.6,563.6653844401171,-0.05866137136123872
2008-07-22,562.8,602.8653844401172,-0.0664582599601834
2008-07-23,602.0,549.4653844401172,0.09561041886817567
2008-07-24,548.6,545.6653844401171,0.005378049705121013
2008-07-25,544.8,480.06538444011716,0.13484541409995732
2008-07-28,479.2,517.8653844401172,-0.07466300239765922
2008-07-29,517.0,536.0653844401172,-0.035565408611544
2008-07-30,535.2,521.8653844401172,0.02555182994976546
2008-07-31,521.0,536.6653844401171,-0.02919022708435015
2008-08-01,535.8,534.6653844401171,0.0021221040166476968
2008-08-04,533.8,598.6653844401171,-0.1083499833563627
2008-08-05,597.8,582.6653844401171,0.02597479782401302
2008-08-06,581.8,477.6653844401172,0.21800745658373666
2008-08-07,476.8,498.26538444011715,-0.04308022413444801
2008-08-08,497.4,490.26538444011715,0.014552558239514735
2008-08-11,489.4,457.86538444011717,0.06887311561769116
2008-08-12,457.0,441.86538444011717,0.03425164335753461
2008-08-13,441.0,457.26538444011715,-0.03557099442380218
2008-08-14,456.4,460.6653844401172,-0.009259181575583919
2008-08-15,459.8,432.86538444011717,0.0622239997192684
2008-08-18,432.0,407.26538444011715,0.060733409970224805
2008-08-19,406.4,416.86538444011717,-0.025104949537062216
2008-08-20,416.0,396.4653844401172,0.04927193224565962
2008-08-21,395.6,398.26538444011715,-0.00669248331452188
2008-08-22,397.4,376.4653844401172,0.0556083412317363
2008-08-25,375.6,393.6653844401172,-0.04589020308658909
2008-08-26,392.8,400.86538444011717,-0.020119932409185082
2008-08-27,400.0,431.06538444011716,-0.07206652531486835
2008-08-28,430.2,430.6653844401172,-0.001080617242368409
2008-08-29,429.8,440.06538444011716,-0.02332695277356911
2008-09-02,439.2,452.4653844401172,-0.029318009501504427
2008-09-03,451.6,425.26538444011715,0.061925133160211754
2008-09-04,424.4,447.6653844401172,-0.051970478953190846
2008-09-05,446.8,456.06538444011716,-0.02031591249024889
2008-09-08,455.2,368.26538444011715,0.23606512920580802
2008-09-09,367.4,350.86538444011717,0.04712524031479326
2008-09-10,350.0,351.86538444011717,-0.005301415037132329
2008-09-11,351.0,243.66538444011715,0.44050005628214817
2008-09-12,242.8,96.06538444011717,1.5274452542408818
2008-09-15,95.2,75.86538444011717,0.2548542487798797
2008-09-16,75.0,41.86538444011716,0.7914561397919917
2008-09-17,41.0,54.665384440117165,-0.24998240806459193
2008-09-18,53.8,77.86538444011717,-0.30906396485622945
2008-09-19,77.0,95.26538444011716,-0.19173159849681387
2008-09-22,94.4,100.86538444011717,-0.06409914041378195
2008-09-23,100.0,67.06538444011717,0.49108218546469695
2008-09-24,66.2,61.26538444011717,0.0805449211651661
2008-09-25,60.4,63.86538444011716,-0.05426076223445353
2008-09-26,63.0,50.86538444011716,0.2385633312998683
2008-09-29,50.0,67.46538444011716,-0.2588791953838132
2008-09-30,66.6,7106852.823191734,-0.9999906287632997
2008-10-01,79.0,7106853.823191734,-0.9999888839700428
2008-10-02,80.0,7106851.023191733,-0.9999887432563679
2008-10-03,77.2,7106851.2231917335,-0.9999891372427007
2008-10-06,77.4,7106844.023191733,-0.9999891090898088
2008-10-07,70.2,7106837.623191734,-0.9999901221888381
2008-10-08,63.8,7106821.623191734,-0.9999910227098157
2008-10-09,47.8,7106820.423191734,-0.9999932740667199
2008-10-10,46.6,7106825.2231917335,-0.9999934429230302
2008-10-13,51.4,7106829.823191734,-0.9999927675206416
2008-10-14,56.0,7106822.423191734,-0.9999921202477471
2008-10-15,48.6,7106822.423191734,-0.9999931615007234
2008-10-16,48.6,7106815.823191734,-0.9999931614943726
2008-10-17,42.0,7106820.023191733,-0.9999940901838146
2008-10-20,46.2,7106818.023191733,-0.9999934992003666
2008-10-21,44.2,7106816.023191733,-0.9999937806185139
2008-10-22,42.2,7106815.823191734,-0.9999940620383235
2008-10-23,42.0,7106807.823191734,-0.9999940901736694
2008-10-24,34.0,7106800.823191734,-0.9999952158501629
2008-10-27,27.0,7106810.423191734,-0.9999962008273202
2008-10-28,36.6,7106804.823191734,-0.9999948500063094
2008-10-29,31.0,7106806.423191734,-0.9999956379844681
2008-10-30,32.6,7106812.023191733,-0.9999954128517972
2008-10-31,38.2,7106816.623191734,-0.9999946248788979
2008-11-03,42.8,7106822.023191733,-0.999993977617582
2008-11-04,48.2,7106815.023191733,-0.9999932177776061
2008-11-05,41.2,7106811.2231917335,-0.9999942027445635
2008-11-06,37.4,7106816.023191733,-0.9999947374464349
2008-11-07,42.2,7106819.423191734,-0.9999940620413315
2008-11-10,45.6,7106819.023191733,-0.9999935836272387
2008-11-11,45.2,7106814.423191734,-0.9999936399070936
2008-11-12,40.6,7106815.023191733,-0.9999942871736681
2008-11-13,41.2,7106815.423191734,-0.9999942027479896
2008-11-14,41.6,7106812.023191733,-0.999994146461189
2008-11-17,38.2,7106812.823191734,-0.9999946248760239
2008-11-18,39.0,7106805.023191733,-0.9999945123019595
2008-11-19,31.2,7106802.623191734,-0.9999956098400851
2008-11-20,28.8,7106805.823191734,-0.9999959475465185
2008-11-21,32.0,7106809.2231917335,-0.9999954972760637
2008-11-24,35.4,7106809.2231917335,-0.9999950188616454
2008-11-25,35.4,7106812.823191734,-0.9999950188641686
2008-11-26,39.0,7106814.023191733,-0.999994512308909
2008-11-28,40.2,7106806.823191734,-0.9999943434511448
2008-12-01,33.0,7106811.2231917335,-0.9999953565672475
2008-12-02,37.4,7106814.023191733,-0.9999947374449538
2008-12-03,40.2,7106810.623191734,-0.9999943434541694
2008-12-04,36.8,7106812.623191734,-0.9999948218699506
2008-12-05,38.8,7106812.423191734,-0.9999945404496855
2008-12-08,38.6,7106812.423191734,-0.9999945685916974
2008-12-09,38.6,7106808.823191734,-0.9999945685889461
2008-12-10,35.0,7106808.423191734,-0.9999950751451403
2008-12-11,34.6,7106809.823191734,-0.999995131430155
2008-12-12,36.0,7106808.623191734,-0.999994934435144
2008-12-15,34.8,7106809.823191734,-0.9999951032881327
2008-12-16,36.0,7106808.823191734,-0.9999949344352865
2008-12-17,35.0,7106807.2231917335,-0.9999950751443087
2008-12-18,33.4,7106805.823191734,-0.9999953002796431
2008-12-19,32.0,7106806.023191733,-0.9999954972740362
2008-12-22,32.2,7106804.823191734,-0.9999954691312339
2008-12-23,31.0,7106805.023191733,-0.9999956379836088
2008-12-24,31.2,7106805.2231917335,-0.9999956098416911
2008-12-26,31.4,7106804.823191734,-0.9999955816994021
2008-12-29,31.0,7106805.023191733,-0.9999956379836088
2008-12-30,31.2,7106805.2231917335,-0.9999956098416911
2008-12-31,31.4,33.800000004634406,-0.07100591728714012
2009-01-02,33.8,33.199999995365594,0.01807228929873972
2009-01-05,33.2,34.800000004634406,-0.04597701162130252
2009-01-06,34.8,32.800000004634406,0.06097560960618931
2009-01-07,32.8,33.0,-0.0060606060606061
2009-01-08,33.0,32.39999999073118,0.01851851880989086
2009-01-09,32.4,30.80000000463441,0.05194805178976747
2009-01-12,30.8,31.600000009268815,-0.025316455982093644
2009-01-13,31.6,29.80000000463441,0.06040268439884766
2009-01-14,29.8,28.19999999536559,0.056737588826147434
2009-01-15,28.2,28.399999990731185,-0.0070422531970584235
2009-01-16,28.4,27.399999990731185,0.03649635071558732
2009-01-20,27.4,29.0,-0.05517241379310345
2009-01-21,29.0,26.19999999536559,0.10687022920342337
2009-01-22,26.2,27.399999990731185,-0.04379562011449345
2009-01-23,27.4,25.19999999536559,0.08730158750154748
2009-01-26,25.2,27.0,-0.06666666666666665
2009-01-27,27.0,28.19999999536559,-0.042553191332014184
2009-01-28,28.2,25.80000000463441,0.0930232556176156
2009-01-29,25.8,25.600000009268815,0.007812499635108328
2009-01-30,25.6,24.600000009268815,0.040650406111967685
2009-02-02,24.6,21.600000009268815,0.1388888884001782
2009-02-03,21.6,20.600000009268815,0.04854368884860416
2009-02-04,20.6,20.0,0.030000000000000027
2009-02-05,20.0,20.80000000463441,-0.03846153867577706
2009-02-06,20.8,20.80000000463441,-2.2280810529906603e-10
2009-02-09,20.8,18.399999990731185,0.13043478317814072
2009-02-10,18.4,19.19999999536559,-0.041666666435348554
2009-02-11,19.2,18.0,0.06666666666666665
2009-02-12,18.0,17.0,0.05882352941176472
2009-02-13,17.0,15.600000009268816,0.08974358909611335
2009-02-17,15.6,14.600000009268816,0.06849315000659817
2009-02-18,14.6,11.800000004634407,0.23728813510727997
2009-02-19,11.8,10.800000004634407,0.09259259212374826
2009-02-20,10.8,10.600000009268816,0.018867923637386985
2009-02-23,10.6,8.199999995365593,0.2926829275598559
2009-02-24,8.2,9.199999995365593,-0.10869565172492757
2009-02-25,9.2,10.399999990731184,-0.11538461459621763
2009-02-26,10.4,8.399999990731184,0.23809523946139022
2009-02-27,8.4,8.399999990731184,1.1034306801604998e-09
2009-03-02,8.4,8.600000009268816,-0.023255815006193337
2009-03-03,8.6,8.600000009268816,-1.0777694292585238e-09
2009-03-04,8.6,7.0,0.22857142857142843
2009-03-05,7.0,7.0,0.0
2009-03-06,7.0,7.0,0.0
2009-03-09,7.0,8.399999990731184,-0.16666666574714117
2009-03-10,8.4,8.199999995365593,0.024390244481395262
