date,INTU,dcf,Deviation
1997-01-02,5.25,,
1997-01-03,5.38,,
1997-01-06,5.48,,
1997-01-07,5.92,,
1997-01-08,5.83,,
1997-01-09,5.96,,
1997-01-10,6.04,,
1997-01-13,5.83,,
1997-01-14,5.88,,
1997-01-15,5.77,,
1997-01-16,5.79,,
1997-01-17,5.83,,
1997-01-20,5.75,,
1997-01-21,5.75,,
1997-01-22,5.67,,
1997-01-23,5.25,,
1997-01-24,5.31,,
1997-01-27,5.08,,
1997-01-28,4.67,,
1997-01-29,4.85,,
1997-01-30,4.75,,
1997-01-31,4.88,,
1997-02-03,4.73,,
1997-02-04,4.69,,
1997-02-05,4.35,,
1997-02-06,4.46,,
1997-02-07,4.48,,
1997-02-10,4.6,,
1997-02-11,4.35,,
1997-02-12,4.63,,
1997-02-13,4.77,,
1997-02-14,4.67,,
1997-02-18,4.46,,
1997-02-19,4.4,,
1997-02-20,4.33,,
1997-02-21,4.13,,
1997-02-24,4.21,,
1997-02-25,4.27,,
1997-02-26,4.25,,
1997-02-27,4.23,,
1997-02-28,3.77,,
1997-03-03,3.7,,
1997-03-04,3.67,,
1997-03-05,3.75,,
1997-03-06,3.67,,
1997-03-07,3.65,,
1997-03-10,3.77,,
1997-03-11,3.69,,
1997-03-12,3.63,,
1997-03-13,3.75,,
1997-03-14,3.75,,
1997-03-17,3.83,,
1997-03-18,3.85,,
1997-03-19,3.92,,
1997-03-20,4.14,,
1997-03-21,4.33,,
1997-03-24,4.21,,
1997-03-25,4.1,,
1997-03-26,4.25,,
1997-03-27,3.96,,
1997-03-31,3.88,,
1997-04-01,3.7,,
1997-04-02,3.85,,
1997-04-03,3.9,,
1997-04-04,3.96,,
1997-04-07,4.0,,
1997-04-08,4.13,,
1997-04-09,3.83,,
1997-04-10,3.79,,
1997-04-11,3.7,,
1997-04-14,3.79,,
1997-04-15,3.73,,
1997-04-16,3.7,,
1997-04-17,3.79,,
1997-04-18,3.71,,
1997-04-21,3.63,,
1997-04-22,3.71,,
1997-04-23,3.63,,
1997-04-24,3.75,,
1997-04-25,3.58,,
1997-04-28,3.65,,
1997-04-29,3.75,,
1997-04-30,3.69,,
1997-05-01,3.69,,
1997-05-02,3.73,,
1997-05-05,4.0,,
1997-05-06,3.9,,
1997-05-07,3.88,,
1997-05-08,3.85,,
1997-05-09,3.96,,
1997-05-12,4.17,,
1997-05-13,4.0,,
1997-05-14,3.99,,
1997-05-15,4.52,,
1997-05-16,4.63,,
1997-05-19,4.33,,
1997-05-20,4.71,,
1997-05-21,4.75,,
1997-05-22,4.58,,
1997-05-23,4.52,,
1997-05-27,4.73,,
1997-05-28,4.73,,
1997-05-29,4.52,,
1997-05-30,4.52,,
1997-06-02,4.56,,
1997-06-03,4.35,,
