DFS,dcf,Deviation
11.83,13.0329279325979,-0.09229913176985671
11.0,12.0829279325979,-0.0896246289507634
10.05,11.102927932597902,-0.09483335738013154
9.07,11.6129279325979,-0.21897388387813987
9.58,11.502927932597903,-0.16716856298373894
9.47,11.002927932597903,-0.1393200011840814
8.97,10.0929279325979,-0.11125888742067536
8.06,9.442927932597902,-0.14645117938726404
7.41,8.7029279325979,-0.14856240826206057
6.67,9.6829279325979,-0.3111587686669419
7.65,11.772927932597899,-0.3502041256178915
9.74,11.7029279325979,-0.16772964371849763
9.67,12.242927932597901,-0.21015625892457046
10.21,12.2629279325979,-0.16740927973169517
10.23,11.298958449699878,-0.09460681304906216
9.4,11.86895844969988,-0.20801812224410565
9.97,12.298958449699878,-0.1893622504072049
10.4,11.918958449699879,-0.1274405356902747
10.02,12.77895844969988,-0.21589853825408412
10.88,13.018958449699877,-0.1642956660445587
11.12,12.24895844969988,-0.09216770995966117
10.35,12.078958449699877,-0.14313804099084693
10.18,11.008958449699877,-0.07529853559602417
9.11,10.86895844969988,-0.16183321132748008
8.97,10.628958449699878,-0.15607911702267685
8.73,10.95895844969988,-0.2033914500114672
9.06,10.478958449699878,-0.13541025632566728
8.58,11.158958449699877,-0.23111103615313122
9.26,11.228958449699878,-0.17534648992779056
9.33,10.64895844969988,-0.12385797690261924
8.75,10.56895844969988,-0.17210385094772807
8.67,10.46895844969988,-0.17183738557596928
8.57,10.26895844969988,-0.16544603408630343
8.37,10.46895844969988,-0.20049353140379045
8.57,10.878958449699878,-0.2122407637068947
8.98,11.428958449699877,-0.21427660801095882
9.53,11.408958449699877,-0.16469149729871313
9.51,11.64895844969988,-0.1836179997495817
9.75,11.608958449699879,-0.1601313724874205
9.71,10.828958449699877,-0.10333020067418286
8.93,10.798958449699878,-0.17306839899470305
8.9,10.608958449699879,-0.16108635525367943
8.71,10.55895844969988,-0.17510803347771786
8.66,10.508958449699877,-0.17594117043565638
8.61,9.83895844969988,-0.12490737266375673
7.94,9.508958449699879,-0.1649979288477591
7.61,9.49895844969988,-0.19885953388495559
7.6,9.328958449699877,-0.18533242044351694
7.43,9.83895844969988,-0.2448387664218017
7.94,9.288958449699878,-0.1452217121009366
7.39,9.39895844969988,-0.21374266738715375
7.5,9.30895844969988,-0.19432447351381188
7.41,9.33895844969988,-0.20654963399712634
7.44,9.80895844969988,-0.2415096834029673
7.91,9.358958449699879,-0.15482048109171198
7.46,9.048958449699878,-0.1755957283407107
7.15,9.258958449699879,-0.22777491238965852
7.36,9.11895844969988,-0.19289028011283127
7.22,9.078958449699877,-0.2047545938225248
7.18,9.038958449699878,-0.20566069199727344
7.14,9.578958449699877,-0.25461624690274065
7.68,9.858958449699879,-0.2210130472520867
7.96,8.908958449699877,-0.1065173280420727
7.01,9.108958449699879,-0.23042793106263815
7.21,9.038958449699878,-0.2023417255292954
7.14,8.908958449699877,-0.19855951284175877
7.01,7.998958449699879,-0.12363590283894832
6.1,8.198958449699878,-0.25600305972726456
6.3,7.458958449699877,-0.15537805412316108
5.56,7.638958449699881,-0.272152082432332
5.74,7.46895844969988,-0.23148588405513937
5.57,8.08895844969988,-0.3114070204914132
6.19,7.898958449699879,-0.2163523786816236
6.0,8.078958449699877,-0.25733000889206303
6.18,7.628958449699878,-0.18992873788123465
5.73,5.99427429938369,-0.04408778881054232
5.14,6.13427429938369,-0.16208507328790056
5.28,6.37427429938369,-0.1716704126600721
5.52,5.74427429938369,-0.03904310408849265
4.89,5.804274299383691,-0.15751741772106986
4.95,6.0642742993836904,-0.18374404658722865
5.21,6.91427429938369,-0.24648635931837448
6.06,6.79427429938369,-0.10807251327051903
5.94,7.474274299383691,-0.2052740156338927
6.62,7.08427429938369,-0.06553590103422169
6.23,7.1042742993836905,-0.12306313953270853
6.25,7.42427429938369,-0.1581668796209711
6.57,8.09427429938369,-0.18831512783051474
7.24,7.13427429938369,0.014819405055037427
6.28,6.36427429938369,-0.013241776739863487
5.51,7.3942742993836905,-0.2548288341887377
6.54,6.88427429938369,-0.05000880040682154
6.03,7.32427429938369,-0.1767102441115017
6.47,7.99427429938369,-0.19067075287887014
7.14,7.65427429938369,-0.067187858609287
6.8,6.63427429938369,0.024980230412195326
5.78,7.16427429938369,-0.19321905353383417
6.31,7.32427429938369,-0.13848120072032777
6.47,7.44427429938369,-0.13087565828469683
6.59,7.6042742993836905,-0.13338212950391537
6.75,7.41427429938369,-0.08959397407766634
6.56,7.25427429938369,-0.09570554830586908
6.4,7.6842742993836906,-0.16713019985331523
6.83,9.04427429938369,-0.24482608842752362
8.19,9.30427429938369,-0.11975939912449696
8.45,8.42427429938369,0.003053758662415751
7.57,9.00427429938369,-0.15928816156587555
8.15,9.21427429938369,-0.11550278023032978
8.36,9.40427429938369,-0.11104251812945598
8.55,8.34427429938369,0.024654714506629594
7.49,9.08427429938369,-0.1754982563100116
8.23,8.88427429938369,-0.07364409037090147
8.03,9.36427429938369,-0.14248560611594918
8.51,9.94427429938369,-0.14423116822839255
9.09,8.93427429938369,0.017430145459833568
8.08,9.18427429938369,-0.12023533524666086
8.33,9.33427429938369,-0.10758997080790722
8.48,8.98427429938369,-0.05612855113053283
8.13,8.97427429938369,-0.09407716671215083
8.12,9.83427429938369,-0.17431629901670764
8.98,9.96427429938369,-0.09878032958652794
9.11,11.18427429938369,-0.18546346806765934
10.33,11.21427429938369,-0.0788525655585478
10.36,11.51427429938369,-0.10024724697113341
10.66,10.534274299383691,0.011934918062999733
9.68,10.00427429938369,-0.03241357540583101
9.15,9.39427429938369,-0.026002466140435776
8.54,9.60427429938369,-0.11081256805128792
8.75,9.44427429938369,-0.07351272076341497
8.59,10.07427429938369,-0.1473331234860752
9.22,9.68427429938369,-0.04794105216673139
8.83,9.534274299383691,-0.0738676355713005
8.68,9.44427429938369,-0.08092461899730763
8.59,9.21427429938369,-0.06775078308939064
8.36,9.74427429938369,-0.14206027630720985
8.89,9.47427429938369,-0.06166955704688615
8.62,9.954274299383691,-0.13404033877851873
9.1,10.41427429938369,-0.12619931659198458
9.56,11.715733550777587,-0.18400329278865413
10.09,11.265733550777588,-0.10436369238436638
9.64,11.03573355077759,-0.12647401682502968
9.41,11.065733550777587,-0.149627093692423
9.44,11.03573355077759,-0.14459696253405396
9.41,10.805733550777587,-0.12916601582103138
9.18,11.295733550777587,-0.1873037763565114
9.67,11.365733550777588,-0.14919701779051242
9.74,11.275733550777588,-0.1361981057695073
9.65,10.925733550777588,-0.11676410969099582
9.3,11.10573355077759,-0.1625947122287259
9.48,10.725733550777587,-0.1161443685767557
9.1,10.53573355077759,-0.13627276580771397
8.91,10.895733550777587,-0.18224872529448677
