date,IQV,dcf,Deviation
2015-03-03,65.54,64.93,0.009394732789157478
2015-03-04,64.93,65.7,-0.011719939117199374
2015-03-05,65.7,65.3,0.006125574272588086
2015-03-06,65.3,65.34,-0.0006121824303643164
2015-03-09,65.34,64.44,0.013966480446927498
2015-03-10,64.44,64.98,-0.008310249307479367
2015-03-11,64.98,65.34,-0.0055096418732781816
2015-03-12,65.34,66.05,-0.010749432248296609
2015-03-13,66.05,66.57,-0.007811326423313725
2015-03-16,66.57,66.8,-0.0034431137724550975
2015-03-17,66.8,66.75,0.0007490636704119424
2015-03-18,66.75,66.87,-0.0017945266935845972
2015-03-19,66.87,67.25,-0.0056505576208177866
2015-03-20,67.25,67.97,-0.010592908636163023
2015-03-23,67.97,67.45,0.0077094143810230165
2015-03-24,67.45,66.31,0.017191977077363862
2015-03-25,66.31,66.29,0.0003017046311659666
2015-03-26,66.29,67.26,-0.014421647338685673
2015-03-27,67.26,68.0,-0.010882352941176343
2015-03-30,68.0,66.97,0.015380020904882885
2015-03-31,66.97,67.87,-0.013260645351407141
2015-04-01,67.87,66.39,0.022292513932821167
2015-04-02,66.39,66.46,-0.0010532651218777556
2015-04-06,66.46,66.2,0.0039274924471297545
2015-04-07,66.2,67.17,-0.014440970671430686
2015-04-08,67.17,67.41,-0.003560302625723155
2015-04-09,67.41,67.63,-0.0032529942333283657
2015-04-10,67.63,67.87,-0.0035361720937087116
2015-04-13,67.87,67.21,0.00981996726677603
2015-04-14,67.21,67.16,0.0007444907683145097
2015-04-15,67.16,67.48,-0.004742145820984089
2015-04-16,67.48,66.69,0.011845853951117258
2015-04-17,66.69,66.49,0.003007971123477171
2015-04-20,66.49,66.7,-0.0031484257871066124
2015-04-21,66.7,66.45,0.003762227238525151
2015-04-22,66.45,67.69,-0.018318806322942804
2015-04-23,67.69,69.09,-0.020263424518743745
2015-04-24,69.09,68.9,0.002757619738751771
2015-04-27,68.9,69.31,-0.005915452315683134
2015-04-28,69.31,68.47,0.012268146633562127
2015-04-29,68.47,65.88,0.03931390406800239
2015-04-30,65.88,67.3,-0.021099554234769724
2015-05-01,67.3,66.23,0.01615582062509424
2015-05-04,66.23,64.59,0.025390927388140527
2015-05-05,64.59,64.9,-0.004776579352850585
2015-05-06,64.9,64.86,0.0006167129201357646
2015-05-07,64.86,64.85,0.000154202004626125
2015-05-08,64.85,64.36,0.007613424487258991
2015-05-11,64.36,64.47,-0.0017062199472622774
2015-05-12,64.47,65.48,-0.015424557116676896
2015-05-13,65.48,65.67,-0.0028932541495355624
2015-05-14,65.67,67.14,-0.021894548704200156
2015-05-15,67.14,67.53,-0.005775211017325588
2015-05-18,67.53,68.37,-0.012286090390522197
2015-05-19,68.37,68.81,-0.00639441941578256
2015-05-20,68.81,68.71,0.0014553922282056764
2015-05-21,68.71,69.7,-0.014203730272597026
2015-05-22,69.7,69.27,0.006207593474808926
2015-05-26,69.27,70.52,-0.017725467952353968
2015-05-27,70.52,70.59,-0.000991641875619842
2015-05-28,70.59,69.71,0.012623726868455254
2015-05-29,69.71,70.04,-0.004711593375214318
2015-06-01,70.04,69.68,0.005166475315729002
2015-06-02,69.68,69.64,0.0005743825387709567
2015-06-03,69.64,69.67,-0.00043060140663131463
2015-06-04,69.67,69.71,-0.0005738057667478147
2015-06-05,69.71,69.45,0.0037437005039595572
2015-06-08,69.45,69.43,0.00028805991646252416
2015-06-09,69.43,69.42,0.00014405070584855295
2015-06-10,69.42,69.86,-0.006298310907529303
2015-06-11,69.86,70.03,-0.002427531058117993
2015-06-12,70.03,69.69,0.00487874874443972
2015-06-15,69.69,70.58,-0.012609804477189068
2015-06-16,70.58,70.78,-0.002825656965244505
2015-06-17,70.78,71.11,-0.004640697510898573
2015-06-18,71.11,71.85,-0.010299234516353395
2015-06-19,71.85,72.72,-0.011963696369637011
2015-06-22,72.72,73.51,-0.01074683716501168
2015-06-23,73.51,72.9,0.008367626886145452
2015-06-24,72.9,73.49,-0.008028303170499296
2015-06-25,73.49,73.25,0.0032764505119453613
2015-06-26,73.25,72.08,0.016231964483906847
2015-06-29,72.08,72.61,-0.007299270072992692
2015-06-30,72.61,72.97,-0.0049335343291763145
