DE,dcf,Deviation
4.29,,
4.48,,
4.6,,
4.5,,
4.5,,
4.5,,
4.46,,
4.48,,
4.46,,
4.48,,
4.48,,
4.31,,
4.29,,
4.17,,
4.15,,
4.25,,
4.23,,
4.19,,
4.06,,
4.13,,
4.19,,
4.23,,
4.13,,
4.15,,
4.19,,
4.21,,
4.21,,
4.19,,
4.23,,
4.23,,
4.21,,
4.29,,
4.29,,
4.23,,
4.19,,
4.13,,
4.13,,
4.1,,
4.08,,
4.08,,
4.02,,
4.06,,
4.0,,
4.04,,
4.02,,
4.06,,
4.08,,
4.08,,
4.06,,
4.06,,
3.94,,
3.96,,
3.98,,
3.92,,
3.9,,
4.0,,
3.94,,
4.02,,
4.0,,
4.0,,
4.04,,
4.08,,
4.15,,
4.02,,
4.06,,
4.04,,
4.04,,
4.0,,
3.88,,
3.92,,
3.92,,
3.88,,
3.85,,
3.96,,
3.98,,
3.85,,
3.9,,
3.98,,
3.92,,
3.83,,
3.94,,
4.0,,
4.08,,
4.21,,
4.19,,
4.15,,
4.06,,
4.04,,
4.17,,
4.17,,
4.08,,
4.1,,
4.06,,
4.1,,
4.17,,
4.19,,
4.21,,
4.19,,
4.17,,
4.19,,
4.29,,
4.29,,
4.33,,
4.4,,
4.35,,
4.38,,
4.38,,
4.56,,
4.63,,
4.46,,
4.44,,
4.54,,
4.54,,
4.65,,
4.75,,
4.73,,
4.67,,
4.77,,
4.73,,
4.75,,
4.71,,
4.69,,
4.77,,
4.77,,
4.81,,
4.83,,
5.02,,
5.08,,
5.08,,
5.15,,
5.1,,
5.02,,
4.98,,
5.0,,
5.0,,
4.96,,
4.94,,
4.92,,
4.98,,
5.08,,
5.06,,
5.15,,
5.25,,
5.31,,
5.27,,
5.44,,
5.5,,
5.6,,
5.63,,
5.67,,
5.46,,
5.46,,
5.5,,
5.46,,
5.42,,
5.48,,
5.48,,
5.44,,
5.35,,
5.33,,
5.33,,
5.25,,
5.27,,
5.19,,
5.19,,
5.27,,
5.33,,
5.46,,
5.4,,
5.42,,
5.42,,
5.46,,
5.38,,
5.46,,
5.35,,
5.29,,
5.38,,
5.33,,
5.46,,
5.46,,
5.46,,
5.5,,
5.48,,
5.6,,
5.52,,
5.65,,
5.71,,
5.77,,
5.83,,
5.75,,
5.75,,
5.73,,
5.69,,
5.69,,
5.77,,
5.83,,
5.81,,
5.83,,
5.73,,
5.73,,
5.71,,
5.6,,
5.54,,
5.56,,
5.52,,
5.52,,
5.54,,
5.5,,
5.5,,
5.56,,
5.88,,
5.96,,
6.02,,
6.1,,
6.1,,
6.1,,
6.06,,
5.98,,
5.83,,
5.85,,
5.85,,
5.83,,
5.73,,
5.73,,
5.79,,
5.9,,
5.9,,
5.88,,
5.92,,
5.96,,
6.06,,
5.98,,
5.98,,
5.98,,
5.94,,
5.77,,
5.67,,
5.67,,
5.58,,
5.42,,
5.46,,
5.46,,
5.42,,
5.44,,
5.33,,
5.33,,
5.15,,
5.52,,
5.6,,
5.71,,
5.58,,
5.5,,
5.5,,
5.6,,
5.56,,
5.44,,
5.29,,
5.35,,
5.52,,
5.5,,
5.58,,
5.5,,
5.48,,
5.46,,
5.44,,
5.44,,
5.42,,
5.46,,
5.58,,
5.46,,
5.4,,
5.63,,
5.58,,
5.6,,
5.77,,
5.77,,
5.83,,
5.81,,
5.77,,
5.44,,
5.52,,
5.52,,
5.58,,
5.65,,
5.83,,
5.83,,
5.81,,
5.77,,
5.81,,
6.06,,
6.25,,
6.33,,
6.25,,
6.23,,
6.17,,
6.15,,
6.23,,
6.21,,
6.1,,
6.08,,
6.08,,
6.08,,
6.04,,
6.13,,
6.1,,
6.25,,
6.27,,
6.21,,
6.21,,
6.04,,
6.08,,
6.08,,
5.94,,
6.0,,
5.96,,
6.02,,
6.1,,
6.13,,
6.23,,
6.17,,
6.19,,
6.17,,
6.17,,
6.15,,
6.08,,
5.92,,
5.9,,
5.75,,
5.71,,
5.75,,
5.75,,
5.83,,
5.79,,
5.92,,
6.0,,
6.0,,
6.0,,
5.9,,
5.94,,
5.94,,
5.96,,
5.98,,
5.9,,
5.92,,
5.98,,
6.08,,
6.06,,
6.1,,
6.04,,
5.96,,
5.83,,
5.81,,
5.96,,
6.02,,
6.06,,
6.0,,
6.02,,
6.04,,
5.96,,
5.9,,
5.83,,
5.88,,
5.88,,
5.79,,
5.73,,
5.77,,
5.81,,
5.83,,
5.83,,
5.63,,
5.58,,
5.54,,
5.54,,
5.63,,
5.65,,
5.63,,
5.79,,
5.9,,
5.81,,
5.85,,
5.79,,
5.77,,
5.81,,
5.88,,
5.85,,
5.88,,
5.9,,
5.88,,
5.81,,
5.69,,
5.67,,
5.6,,
5.6,,
5.69,,
5.73,,
5.83,,
5.79,,
5.88,,
5.9,,
5.88,,
5.98,,
5.96,,
5.9,,
5.85,,
5.88,,
5.9,,
5.96,,
6.0,,
6.25,,
6.21,,
6.31,,
6.65,,
6.52,,
6.48,,
6.44,,
6.5,,
6.52,,
6.5,,
6.67,,
6.6,,
6.58,,
6.46,,
6.42,,
6.46,,
6.4,,
6.31,,
6.29,,
6.31,,
6.25,,
6.25,,
6.31,,
6.31,,
6.17,,
6.19,,
6.21,,
6.23,,
6.27,,
6.33,,
6.33,,
6.46,,
6.52,,
6.48,,
6.63,,
6.71,,
6.63,,
6.73,,
6.65,,
6.6,,
6.65,,
6.67,,
6.63,,
6.56,,
6.56,,
6.6,,
6.54,,
6.6,,
6.65,,
6.71,,
6.56,,
6.48,,
6.48,,
6.52,,
6.54,,
6.54,,
6.5,,
6.5,,
6.48,,
6.5,,
6.48,,
6.5,,
6.44,,
6.52,,
6.5,,
6.48,,
6.52,,
6.52,,
6.54,,
6.54,,
6.5,,
6.54,,
6.67,,
6.88,,
6.88,,
6.5,,
6.42,,
6.4,,
6.29,,
6.21,,
6.23,,
6.29,,
6.25,,
5.92,,
6.0,,
5.96,,
5.96,,
5.94,,
6.06,,
6.02,,
6.06,,
6.06,,
6.13,,
6.04,,
6.0,,
6.04,,
5.96,,
5.98,,
6.08,,
6.21,,
6.25,,
6.23,,
6.42,,
6.38,,
6.25,,
6.23,,
6.19,,
6.17,,
6.27,,
6.27,,
6.29,,
6.27,,
6.17,,
6.06,,
6.08,,
6.1,,
6.17,,
6.17,,
6.15,,
6.15,,
6.17,,
6.25,,
6.31,,
6.44,,
6.42,,
6.5,,
6.46,,
6.4,,
6.42,,
6.48,,
6.46,,
6.5,,
6.52,,
