date,LEN,dcf,Deviation
1983-04-08,3.85,,
1983-04-11,3.97,,
1983-04-12,3.91,,
1983-04-13,4.04,,
1983-04-14,3.97,,
1983-04-15,4.14,,
1983-04-18,4.14,,
1983-04-19,4.06,,
1983-04-20,4.12,,
1983-04-21,4.1,,
1983-04-22,4.14,,
1983-04-25,4.12,,
1983-04-26,4.04,,
1983-04-27,3.97,,
1983-04-28,3.95,,
1983-04-29,4.12,,
1983-05-02,4.12,,
1983-05-03,4.12,,
1983-05-04,4.08,,
1983-05-05,4.04,,
1983-05-06,4.1,,
1983-05-09,4.26,,
1983-05-10,4.4,,
1983-05-11,4.42,,
1983-05-12,4.49,,
1983-05-13,4.65,,
1983-05-16,4.49,,
1983-05-17,4.47,,
1983-05-18,4.63,,
1983-05-19,4.57,,
1983-05-20,4.59,,
1983-05-23,4.79,,
1983-05-24,4.73,,
1983-05-25,4.71,,
1983-05-26,4.65,,
1983-05-27,4.69,,
1983-05-31,4.55,,
1983-06-01,4.61,,
1983-06-02,4.61,,
1983-06-03,4.63,,
1983-06-06,4.61,,
1983-06-07,4.67,,
1983-06-08,4.45,,
1983-06-09,4.38,,
1983-06-10,4.49,,
1983-06-13,4.49,,
1983-06-14,4.55,,
1983-06-15,4.59,,
1983-06-16,4.69,,
1983-06-17,4.79,,
1983-06-20,4.67,,
1983-06-21,4.73,,
1983-06-22,4.77,,
1983-06-23,4.69,,
1983-06-24,4.63,,
1983-06-27,4.55,,
1983-06-28,4.2,,
1983-06-29,4.12,,
1983-06-30,4.16,,
1983-07-01,4.06,,
1983-07-05,3.95,,
1983-07-06,3.91,,
1983-07-07,3.99,,
1983-07-08,3.89,,
1983-07-11,3.81,,
1983-07-12,3.81,,
1983-07-13,3.5,,
1983-07-14,3.77,,
1983-07-15,3.71,,
1983-07-18,3.65,,
1983-07-19,3.67,,
1983-07-20,3.65,,
1983-07-21,3.83,,
1983-07-22,3.65,,
1983-07-25,3.63,,
1983-07-26,3.4,,
1983-07-27,3.44,,
1983-07-28,3.38,,
1983-07-29,3.26,,
1983-08-01,3.11,,
1983-08-02,3.11,,
1983-08-03,3.11,,
1983-08-04,3.09,,
1983-08-05,3.09,,
1983-08-08,2.95,,
1983-08-09,2.91,,
1983-08-10,3.01,,
1983-08-11,3.03,,
1983-08-12,3.07,,
1983-08-15,3.15,,
1983-08-16,3.18,,
1983-08-17,3.11,,
1983-08-18,3.11,,
1983-08-19,3.11,,
1983-08-22,2.99,,
1983-08-23,2.95,,
1983-08-24,2.89,,
1983-08-25,2.93,,
1983-08-26,2.91,,
1983-08-29,2.91,,
1983-08-30,2.93,,
1983-08-31,2.79,,
1983-09-01,2.85,,
1983-09-02,2.89,,
1983-09-06,3.09,,
1983-09-07,3.24,,
1983-09-08,3.26,,
1983-09-09,3.4,,
1983-09-12,3.38,,
1983-09-13,3.3,,
1983-09-14,3.2,,
1983-09-15,3.24,,
1983-09-16,3.22,,
1983-09-19,3.24,,
1983-09-20,3.36,,
1983-09-21,3.3,,
1983-09-22,3.28,,
1983-09-23,3.28,,
1983-09-26,3.22,,
1983-09-27,3.3,,
1983-09-28,3.28,,
1983-09-29,3.24,,
1983-09-30,3.26,,
1983-10-03,3.18,,
1983-10-04,3.2,,
1983-10-05,3.18,,
1983-10-06,3.34,,
1983-10-07,3.28,,
1983-10-10,3.4,,
1983-10-11,3.28,,
1983-10-12,3.28,,
1983-10-13,3.28,,
1983-10-14,3.26,,
1983-10-17,3.36,,
1983-10-18,3.38,,
1983-10-19,3.2,,
1983-10-20,3.22,,
1983-10-21,3.03,,
1983-10-24,2.89,,
1983-10-25,2.81,,
1983-10-26,2.79,,
1983-10-27,2.7,,
1983-10-28,2.68,,
1983-10-31,2.83,,
1983-11-01,2.97,,
1983-11-02,3.01,,
1983-11-03,3.13,,
1983-11-04,3.13,,
1983-11-07,3.11,,
1983-11-08,2.97,,
1983-11-09,2.97,,
1983-11-10,3.09,,
1983-11-11,3.15,,
1983-11-14,3.28,,
1983-11-15,3.15,,
1983-11-16,3.24,,
1983-11-17,3.13,,
1983-11-18,3.09,,
1983-11-21,3.15,,
1983-11-22,3.11,,
1983-11-23,3.15,,
1983-11-25,3.13,,
1983-11-28,3.13,,
1983-11-29,2.99,,
1983-11-30,3.01,,
1983-12-01,2.93,,
1983-12-02,2.93,,
1983-12-05,2.91,,
1983-12-06,2.85,,
1983-12-07,2.77,,
1983-12-08,2.79,,
1983-12-09,2.75,,
1983-12-12,2.79,,
1983-12-13,2.81,,
1983-12-14,2.75,,
1983-12-15,2.6,,
1983-12-16,2.62,,
1983-12-19,2.58,,
1983-12-20,2.75,,
1983-12-21,2.72,,
1983-12-22,2.85,,
1983-12-23,2.81,,
1983-12-27,2.81,,
1983-12-28,2.79,,
1983-12-29,2.7,,
1983-12-30,2.83,,
1984-01-03,2.7,,
1984-01-04,2.87,,
1984-01-05,3.03,,
1984-01-06,3.03,,
1984-01-09,2.79,,
1984-01-10,2.85,,
1984-01-11,3.07,,
1984-01-12,3.11,,
1984-01-13,3.11,,
1984-01-16,3.07,,
1984-01-17,3.03,,
1984-01-18,3.01,,
1984-01-19,2.91,,
1984-01-20,2.91,,
1984-01-23,2.97,,
1984-01-24,3.03,,
1984-01-25,2.83,,
1984-01-26,2.77,,
1984-01-27,2.79,,
1984-01-30,2.81,,
1984-01-31,2.72,,
1984-02-01,2.77,,
1984-02-02,2.68,,
1984-02-03,2.62,,
1984-02-06,2.62,,
