date,SYF,dcf,Deviation
2016-02-03,26.34,41.061645721125075,-0.3585254673207411
2016-02-04,26.31,39.981645721125076,-0.34194804827409586
2016-02-05,25.23,39.231645721125076,-0.35689672109741766
2016-02-08,24.48,39.83164572112508,-0.38541329245111233
2016-02-09,25.08,39.76164572112508,-0.36924139971713565
2016-02-10,25.01,39.25164572112507,-0.36282926383033864
2016-02-11,24.5,40.12164572112508,-0.38935705254233577
2016-02-12,25.37,40.89164572112507,-0.37957987377129254
2016-02-16,26.14,41.021645721125076,-0.3627754435376398
2016-02-17,26.27,41.37164572112508,-0.36502405108370917
2016-02-18,26.62,41.521645721125076,-0.3588886100808747
2016-02-19,26.77,42.46164572112507,-0.3695486939951159
2016-02-22,27.71,42.26164572112508,-0.34432274164494336
2016-02-23,27.51,42.481645721125076,-0.35242621765192217
2016-02-24,27.73,42.531645721125074,-0.34801488327486074
2016-02-25,27.78,42.68164572112507,-0.34913475029735264
2016-02-26,27.93,41.701645721125075,-0.3302422598192254
2016-02-29,26.95,42.281645721125074,-0.36260759153622446
2016-03-01,27.53,43.00164572112507,-0.3597919442772498
2016-03-02,28.25,43.311645721125075,-0.3477504830479997
2016-03-03,28.56,43.351645721125074,-0.34120148093748537
2016-03-04,28.6,43.271645721125076,-0.33905911080156637
2016-03-07,28.52,42.451645721125075,-0.32817681115698927
2016-03-08,27.7,42.43164572112507,-0.34718534883012464
2016-03-09,27.68,42.561645721125075,-0.34964920808357536
2016-03-10,27.81,43.57164572112507,-0.3617408858505262
2016-03-11,28.82,43.201645721125075,-0.33289578396992936
2016-03-14,28.45,42.43164572112507,-0.3295098618850919
2016-03-15,27.68,42.37164572112508,-0.34673295009167693
2016-03-16,27.62,42.851645721125074,-0.35545065924075236
2016-03-17,28.1,43.21164572112507,-0.3497123395542737
2016-03-18,28.46,43.54164572112507,-0.34637289131696547
2016-03-21,28.79,43.36164572112507,-0.336049185375499
2016-03-22,28.61,43.171645721125074,-0.3372965166810785
2016-03-23,28.42,43.201645721125075,-0.3421546905074736
2016-03-24,28.45,43.131645721125075,-0.3403915031680389
2016-03-28,28.38,43.15164572112508,-0.34231940576703324
2016-03-29,28.4,43.131645721125075,-0.3415507448144922
2016-03-30,28.38,43.411645721125076,-0.3462583707995742
2016-03-31,28.66,44.282153110047844,-0.3527866648946457
2016-04-01,29.33,43.922153110047844,-0.33222763632481567
2016-04-04,28.97,43.562153110047845,-0.3349731835610781
2016-04-05,28.61,43.602153110047844,-0.34383974278079854
2016-04-06,28.65,42.922153110047844,-0.3325125157038502
2016-04-07,27.97,42.97215311004785,-0.3491133681765648
2016-04-08,28.02,42.82215311004785,-0.3456657835958896
2016-04-11,27.87,43.11215311004785,-0.35354655266557466
2016-04-12,28.16,43.87215311004785,-0.35813498987924897
2016-04-13,28.92,44.032153110047844,-0.343207225689796
2016-04-14,29.08,43.89215311004785,-0.3374669971853588
2016-04-15,28.94,44.08215311004785,-0.34349849183288705
