CHRW,dcf,Deviation
16.92,18.50578086014639,-0.08569110766687449
17.11,18.64578086014639,-0.08236613267449577
17.25,18.555780860146392,-0.07037056914974205
17.16,18.215780860146392,-0.05795968167668808
16.82,18.215780860146392,-0.07662481618892147
16.82,18.38578086014639,-0.08516259777361035
16.99,18.335780860146393,-0.07339643020448106
16.94,18.095780860146395,-0.06387018438601066
16.7,17.98578086014639,-0.0714887426987102
16.59,18.14578086014639,-0.08573788431245499
16.75,17.775780860146394,-0.057706655376598026
16.38,17.805780860146392,-0.08007404288219855
16.41,18.04578086014639,-0.09064616670365133
16.65,17.89578086014639,-0.069613104333476
16.5,18.215780860146392,-0.0941920016122001
16.82,18.155780860146397,-0.07357330816206087
16.76,18.525780860146394,-0.09531478718638142
17.13,18.57578086014639,-0.07783149849965443
17.18,18.845780860146395,-0.08839012150826075
17.45,18.615780860146394,-0.06262325866986096
17.22,18.64578086014639,-0.07646667473143298
17.25,18.64578086014639,-0.07485773165605214
17.25,18.445780860146392,-0.06482679530959701
17.05,18.14578086014639,-0.060387638790075804
16.75,18.065780860146397,-0.07283276988314658
16.67,18.125780860146392,-0.08031548386129128
16.73,18.155780860146397,-0.07853040698877989
16.76,17.808619806184538,-0.05888271059727912
16.33,17.72861980618454,-0.07889050707131984
16.25,17.65861980618454,-0.07976953021499456
16.18,17.83861980618454,-0.09297915557399272
16.36,17.62861980618454,-0.07196364889209739
16.15,17.40861980618454,-0.07229865550498193
15.93,17.25861980618454,-0.07698296973367691
15.78,17.14861980618454,-0.07980932702764554
15.67,17.16861980618454,-0.08728830989924441
15.69,17.04861980618454,-0.07969089707142685
15.57,17.20861980618454,-0.09522087329720907
15.73,17.29861980618454,-0.09067889945900376
15.82,16.99861980618454,-0.0693362060933751
15.52,16.60861980618454,-0.06554547089934415
15.13,15.70861980618454,-0.036834541374330954
14.23,15.28861980618454,-0.06924233970134486
13.81,15.27861980618454,-0.09612254410506804
13.8,16.19861980618454,-0.14807556661517296
14.72,15.758619806184539,-0.0659080439123817
14.28,16.64861980618454,-0.14227124132564184
15.17,16.57861980618454,-0.08496604799749763
15.1,16.47861980618454,-0.08366112104043655
15.0,15.69861980618454,-0.04450198901621372
14.22,15.45861980618454,-0.0801248637791715
13.98,14.78861980618454,-0.05467851745342578
13.31,15.55861980618454,-0.14452566064315775
14.08,15.95861980618454,-0.1177181879761624
14.48,16.22861980618454,-0.10774913868634473
14.75,16.29861980618454,-0.09501539545065729
14.82,16.13861980618454,-0.08170585973400446
14.66,15.63861980618454,-0.06257712114706748
14.16,16.24861980618454,-0.12854136727290344
14.77,16.37861980618454,-0.09821461302723
14.9,16.47861980618454,-0.09579805983460288
15.0,16.52861980618454,-0.09248320937314891
15.05,16.23861980618454,-0.07319709558886589
14.76,16.59861980618454,-0.11076943912526283
15.12,16.75861980618454,-0.0977777302149806
15.28,16.11861980618454,-0.05202801581452843
14.64,16.58861980618454,-0.11746726544772923
15.11,15.93861980618454,-0.05198817816477552
14.46,15.68861980618454,-0.07831280388987505
14.21,15.37861980618454,-0.07598990162397912
13.9,15.27861980618454,-0.09023195967128506
13.8,15.34861980618454,-0.10089635587693313
13.87,15.37861980618454,-0.0980985176301612
13.9,14.60861980618454,-0.04850696476367655
13.13,14.66861980618454,-0.10489192756470722
13.19,15.19861980618454,-0.1321580401246174
13.72,15.01861980618454,-0.0864673200962035
13.54,15.03861980618454,-0.09965141917932141
13.56,14.77861980618454,-0.08245829598204923
13.3,14.99861980618454,-0.11325174103580704
13.52,14.89861980618454,-0.09253339061731503
13.42,14.58861980618454,-0.08010489146403876
