date,REG,dcf,Deviation
2012-07-09,47.67,47.42732131085263,0.0051168542190433985
2012-07-10,47.17,47.58732131085264,-0.008769590289114726
2012-07-11,47.33,47.597321310852635,-0.00561630998321927
2012-07-12,47.34,48.00732131085263,-0.013900407117732105
2012-07-13,47.75,48.247321310852634,-0.010307749681032874
2012-07-16,47.99,48.61732131085264,-0.012903247113135397
2012-07-17,48.36,48.36732131085264,-0.0001513689543728436
2012-07-18,48.11,47.92732131085263,0.0038115772830809025
2012-07-19,47.67,47.60732131085263,0.0013165766823575176
2012-07-20,47.35,47.08732131085264,0.0055785439017279614
2012-07-23,46.83,46.40732131085264,0.009108017381914912
2012-07-24,46.15,46.44732131085264,-0.006401258510965402
2012-07-25,46.19,46.86732131085264,-0.014451888691487835
2012-07-26,46.61,47.567321310852634,-0.020125609020456237
