date,CCL,dcf,Deviation
1993-03-11,9.44,,
1993-03-12,9.38,,
1993-03-15,9.44,,
1993-03-16,9.47,,
1993-03-17,9.56,,
1993-03-18,9.72,,
1993-03-19,9.72,,
1993-03-22,9.59,,
1993-03-23,9.34,,
1993-03-24,8.28,,
1993-03-25,8.47,,
1993-03-26,8.66,,
1993-03-29,8.41,,
1993-03-30,8.28,,
1993-03-31,8.28,,
1993-04-01,8.0,,
1993-04-02,7.91,,
1993-04-05,7.81,,
1993-04-06,7.84,,
1993-04-07,7.88,,
1993-04-08,7.84,,
1993-04-12,8.19,,
1993-04-13,8.34,,
1993-04-14,8.56,,
1993-04-15,8.5,,
1993-04-16,8.31,,
1993-04-19,8.09,,
1993-04-20,7.91,,
1993-04-21,8.13,,
1993-04-22,8.5,,
1993-04-23,8.47,,
1993-04-26,8.25,,
1993-04-27,8.13,,
1993-04-28,8.22,,
1993-04-29,8.31,,
1993-04-30,8.19,,
1993-05-03,8.13,,
1993-05-04,8.59,,
1993-05-05,8.75,,
1993-05-06,8.69,,
1993-05-07,8.75,,
1993-05-10,8.78,,
1993-05-11,8.84,,
1993-05-12,8.88,,
1993-05-13,8.88,,
1993-05-14,8.81,,
1993-05-17,8.88,,
1993-05-18,8.84,,
1993-05-19,8.81,,
1993-05-20,8.88,,
1993-05-21,8.78,,
1993-05-24,8.53,,
1993-05-25,8.5,,
1993-05-26,8.56,,
1993-05-27,8.59,,
1993-05-28,8.53,,
1993-06-01,8.47,,
1993-06-02,8.53,,
1993-06-03,8.69,,
1993-06-04,8.97,,
1993-06-07,8.72,,
1993-06-08,8.69,,
1993-06-09,8.69,,
1993-06-10,8.75,,
1993-06-11,8.66,,
1993-06-14,8.59,,
1993-06-15,8.63,,
1993-06-16,8.59,,
1993-06-17,8.53,,
1993-06-18,8.41,,
1993-06-21,8.38,,
1993-06-22,8.41,,
1993-06-23,8.38,,
1993-06-24,9.06,,
1993-06-25,9.16,,
1993-06-28,9.94,,
1993-06-29,9.75,,
1993-06-30,9.78,,
1993-07-01,9.72,,
1993-07-02,9.56,,
1993-07-06,9.69,,
1993-07-07,9.69,,
1993-07-08,9.66,,
1993-07-09,9.91,,
1993-07-12,9.91,,
1993-07-13,10.06,,
1993-07-14,9.94,,
1993-07-15,9.94,,
1993-07-16,9.94,,
1993-07-19,9.94,,
1993-07-20,9.94,,
1993-07-21,10.0,,
1993-07-22,9.91,,
1993-07-23,9.72,,
1993-07-26,9.72,,
1993-07-27,9.91,,
1993-07-28,10.16,,
1993-07-29,10.19,,
1993-07-30,10.13,,
1993-08-02,10.19,,
1993-08-03,10.13,,
1993-08-04,10.09,,
1993-08-05,10.06,,
1993-08-06,10.0,,
1993-08-09,10.16,,
1993-08-10,10.09,,
1993-08-11,10.13,,
1993-08-12,10.28,,
1993-08-13,10.31,,
1993-08-16,10.47,,
1993-08-17,10.94,,
1993-08-18,10.56,,
1993-08-19,10.44,,
1993-08-20,10.25,,
1993-08-23,10.47,,
1993-08-24,10.81,,
1993-08-25,10.66,,
1993-08-26,10.47,,
1993-08-27,10.13,,
1993-08-30,10.31,,
1993-08-31,10.47,,
1993-09-01,10.31,,
1993-09-02,10.56,,
1993-09-03,10.47,,
1993-09-07,10.25,,
1993-09-08,10.03,,
1993-09-09,10.16,,
