ADSK,dcf,Deviation
4.0,,
4.13,,
4.06,,
4.03,,
3.91,,
3.91,,
3.94,,
3.8,,
3.91,,
4.16,,
4.16,,
4.28,,
4.09,,
3.84,,
3.84,,
3.81,,
3.86,,
3.94,,
4.03,,
4.19,,
4.0,,
4.16,,
4.31,,
4.63,,
4.66,,
4.63,,
4.59,,
4.63,,
4.67,,
4.38,,
4.41,,
4.53,,
4.75,,
4.91,,
4.94,,
4.78,,
4.59,,
4.42,,
4.44,,
4.52,,
4.59,,
4.63,,
4.34,,
4.31,,
3.53,,
3.39,,
3.52,,
3.39,,
3.28,,
3.27,,
3.25,,
3.05,,
3.19,,
3.13,,
3.09,,
3.0,,
2.94,,
3.13,,
3.17,,
3.2,,
3.2,,
3.16,,
3.27,,
3.34,,
3.41,,
3.53,,
3.5,,
3.5,,
3.5,,
3.78,,
4.03,,
3.84,,
3.72,,
3.72,,
3.86,,
4.03,,
3.88,,
3.91,,
4.0,,
4.02,,
4.06,,
4.0,,
4.0,,
3.94,,
3.94,,
4.0,,
3.91,,
3.94,,
3.92,,
3.95,,
3.81,,
4.03,,
4.13,,
4.31,,
4.28,,
4.09,,
4.19,,
4.22,,
4.19,,
4.16,,
4.06,,
3.84,,
3.72,,
3.63,,
3.63,,
4.06,,
4.33,,
4.25,,
4.22,,
4.22,,
4.41,,
4.38,,
4.25,,
4.19,,
3.95,,
4.0,,
3.88,,
3.84,,
3.98,,
3.95,,
3.91,,
4.16,,
4.33,,
4.47,,
4.53,,
4.5,,
4.41,,
4.47,,
4.73,,
4.53,,
4.63,,
4.5,,
4.38,,
4.42,,
4.44,,
4.42,,
4.31,,
4.41,,
4.5,,
4.38,,
4.44,,
4.47,,
4.5,,
4.59,,
4.66,,
4.44,,
4.56,,
4.75,,
4.8,,
4.91,,
4.64,,
4.77,,
4.38,,
4.66,,
4.72,,
4.81,,
4.81,,
4.88,,
4.91,,
4.91,,
4.75,,
4.72,,
4.88,,
4.75,,
4.88,,
4.89,,
4.94,,
5.09,,
4.88,,
5.03,,
5.31,,
5.38,,
5.14,,
5.16,,
5.17,,
5.13,,
5.0,,
5.06,,
5.11,,
5.09,,
5.06,,
5.13,,
5.16,,
5.09,,
5.25,,
5.64,,
5.53,,
5.61,,
5.67,,
5.69,,
5.69,,
5.84,,
5.78,,
5.89,,
6.05,,
6.09,,
5.91,,
5.97,,
6.13,,
6.19,,
6.31,,
6.28,,
6.27,,
6.2,,
6.06,,
6.06,,
5.84,,
5.75,,
5.72,,
5.42,,
5.47,,
5.88,,
5.81,,
5.59,,
5.63,,
5.78,,
5.95,,
5.84,,
6.03,,
6.03,,
6.05,,
6.0,,
6.09,,
6.19,,
6.31,,
6.44,,
6.38,,
6.47,,
6.34,,
6.38,,
6.41,,
6.28,,
6.42,,
6.53,,
6.34,,
6.31,,
6.23,,
6.28,,
6.63,,
6.69,,
6.89,,
6.84,,
6.94,,
6.84,,
6.73,,
6.63,,
6.44,,
6.56,,
6.7,,
6.06,,
5.81,,
6.09,,
6.13,,
6.05,,
5.97,,
5.91,,
5.94,,
6.25,,
6.28,,
6.22,,
6.16,,
6.02,,
5.84,,
5.78,,
5.83,,
5.88,,
5.84,,
6.0,,
5.84,,
5.91,,
5.91,,
5.63,,
5.66,,
5.72,,
5.78,,
5.84,,
5.78,,
5.81,,
5.94,,
6.31,,
6.16,,
6.16,,
6.22,,
6.25,,
6.47,,
6.56,,
6.5,,
6.41,,
6.2,,
6.05,,
5.91,,
6.11,,
6.14,,
6.0,,
5.81,,
5.84,,
5.94,,
5.97,,
5.89,,
5.94,,
5.8,,
5.45,,
5.66,,
5.5,,
5.56,,
5.73,,
5.7,,
5.59,,
5.5,,
5.56,,
5.81,,
5.72,,
5.39,,
5.66,,
5.91,,
5.97,,
5.78,,
5.59,,
5.78,,
5.69,,
5.72,,
5.56,,
5.84,,
5.72,,
5.78,,
5.7,,
5.75,,
5.69,,
5.56,,
5.44,,
5.34,,
5.17,,
5.09,,
5.19,,
5.22,,
5.28,,
5.02,,
5.16,,
5.44,,
5.47,,
5.22,,
5.25,,
5.28,,
5.36,,
5.17,,
5.31,,
5.34,,
5.34,,
5.19,,
5.25,,
5.13,,
5.03,,
5.13,,
5.31,,
5.16,,
5.03,,
5.0,,
5.09,,
5.03,,
5.06,,
5.25,,
5.63,,
5.69,,
5.63,,
5.75,,
5.91,,
5.92,,
6.06,,
5.91,,
6.09,,
6.25,,
6.41,,
6.52,,
6.69,,
6.47,,
6.53,,
6.47,,
6.39,,
6.34,,
6.28,,
6.22,,
6.25,,
6.22,,
6.28,,
6.34,,
6.25,,
6.53,,
6.47,,
6.53,,
6.78,,
6.88,,
6.97,,
6.75,,
6.69,,
6.69,,
6.69,,
6.69,,
6.75,,
6.56,,
6.89,,
6.94,,
7.05,,
6.84,,
6.81,,
6.69,,
6.53,,
6.39,,
6.0,,
5.97,,
5.97,,
5.75,,
5.66,,
5.56,,
5.5,,
5.81,,
5.69,,
5.53,,
5.56,,
5.47,,
5.44,,
5.22,,
5.28,,
5.16,,
5.34,,
5.5,,
5.69,,
5.81,,
5.73,,
5.78,,
5.7,,
5.66,,
5.5,,
5.38,,
5.22,,
5.16,,
5.38,,
5.17,,
5.25,,
5.69,,
5.78,,
5.75,,
5.53,,
5.81,,
6.19,,
6.31,,
6.11,,
6.09,,
6.03,,
5.81,,
5.75,,
5.77,,
5.91,,
5.97,,
5.7,,
5.78,,
5.88,,
6.03,,
5.88,,
5.72,,
6.06,,
6.06,,
6.03,,
6.06,,
5.91,,
5.75,,
5.56,,
5.56,,
5.63,,
5.5,,
5.38,,
5.56,,
5.52,,
5.69,,
5.94,,
5.94,,
5.91,,
6.0,,
5.94,,
5.72,,
5.84,,
5.88,,
5.97,,
5.81,,
5.69,,
5.63,,
5.44,,
5.38,,
5.47,,
5.25,,
5.44,,
5.25,,
4.94,,
5.02,,
4.88,,
5.09,,
5.06,,
5.16,,
5.06,,
5.28,,
5.22,,
5.13,,
5.44,,
5.33,,
5.34,,
5.41,,
5.47,,
5.34,,
5.56,,
5.61,,
5.56,,
5.66,,
5.52,,
5.56,,
5.48,,
5.41,,
5.41,,
5.16,,
5.13,,
5.13,,
5.19,,
5.56,,
5.63,,
5.5,,
5.53,,
5.63,,
5.56,,
5.63,,
5.66,,
5.69,,
5.63,,
5.59,,
5.67,,
